,,,,,,,Daily Price Arrival Report-08-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Sanad APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,"2,850.00","2,850.00","2,850.00",Rs./Quintal,0.50,Metric Tonnes,10-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,625.00","2,250.00","2,250.00",Rs./Quintal,0.40,Metric Tonnes,29-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,660.00","1,970.00","1,795.00",Rs./Quintal,1.40,Metric Tonnes,28-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,700.00","2,905.00","1,965.00",Rs./Quintal,2.30,Metric Tonnes,26-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,690.00","1,830.00","1,830.00",Rs./Quintal,0.20,Metric Tonnes,23-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,Non-FAQ,"1,550.00","2,655.00","2,125.00",Rs./Quintal,2.60,Metric Tonnes,22-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,605.00","2,000.00","1,650.00",Rs./Quintal,0.40,Metric Tonnes,21-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,Non-FAQ,"1,450.00","1,600.00","1,600.00",Rs./Quintal,0.30,Metric Tonnes,20-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,525.00","2,000.00","2,000.00",Rs./Quintal,0.10,Metric Tonnes,19-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,900.00","3,650.00","3,450.00",Rs./Quintal,4.00,Metric Tonnes,18-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,650.00","2,205.00","2,105.00",Rs./Quintal,1.00,Metric Tonnes,18-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Other,FAQ,"1,500.00","2,230.00","1,800.00",Rs./Quintal,0.50,Metric Tonnes,15-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,500.00","2,125.00","2,055.00",Rs./Quintal,0.60,Metric Tonnes,14-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Other,Grade Range-2,"2,875.00","2,875.00","2,875.00",Rs./Quintal,1.00,Metric Tonnes,13-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,950.00","2,650.00","2,060.00",Rs./Quintal,2.90,Metric Tonnes,11-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,500.00","2,305.00","2,100.00",Rs./Quintal,0.70,Metric Tonnes,10-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,700.00","2,325.00","2,325.00",Rs./Quintal,0.70,Metric Tonnes,09-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"2,075.00","2,075.00","2,075.00",Rs./Quintal,0.10,Metric Tonnes,08-01-2026
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Other,FAQ,"3,100.00","3,100.00","3,100.00",Rs./Quintal,1.50,Metric Tonnes,07-02-2026
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,775.00","2,175.00","2,000.00",Rs./Quintal,0.50,Metric Tonnes,05-01-2026
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,450.00","1,500.00","1,500.00",Rs./Quintal,2.60,Metric Tonnes,04-02-2026
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,FAQ,"1,500.00","1,940.00","1,700.00",Rs./Quintal,0.80,Metric Tonnes,02-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Bajra(Pearl Millet/Cumbu),Bold,Non-FAQ,"1,570.00","1,850.00","1,705.00",Rs./Quintal,0.40,Metric Tonnes,01-12-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Non-FAQ,"1,625.00","2,405.00","2,405.00",Rs./Quintal,0.09,Metric Tonnes,26-11-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Grade Range-3,"1,655.00","1,700.00","1,700.00",Rs./Quintal,0.52,Metric Tonnes,25-11-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Non-FAQ,"1,775.00","1,775.00","1,775.00",Rs./Quintal,0.14,Metric Tonnes,19-11-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Non-FAQ,"1,725.00","1,725.00","1,725.00",Rs./Quintal,0.20,Metric Tonnes,18-11-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Non-FAQ,"1,750.00","1,750.00","1,750.00",Rs./Quintal,0.11,Metric Tonnes,17-12-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Non-FAQ,"1,625.00","1,850.00","1,850.00",Rs./Quintal,0.07,Metric Tonnes,15-12-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Non-FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.17,Metric Tonnes,14-11-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Local,"1,800.00","1,800.00","1,800.00",Rs./Quintal,0.14,Metric Tonnes,13-01-2026
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Local,"2,055.00","2,055.00","2,055.00",Rs./Quintal,0.11,Metric Tonnes,12-01-2026
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Non-FAQ,"1,845.00","2,075.00","2,075.00",Rs./Quintal,0.52,Metric Tonnes,11-12-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Non-FAQ,"1,750.00","1,750.00","1,750.00",Rs./Quintal,0.19,Metric Tonnes,11-11-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Local,"1,775.00","1,775.00","1,775.00",Rs./Quintal,0.21,Metric Tonnes,09-12-2025
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Local,"1,900.00","1,900.00","1,900.00",Rs./Quintal,0.06,Metric Tonnes,07-01-2026
Gujarat,Amreli,Dhari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Deshi,Non-FAQ,"1,590.00","1,590.00","1,590.00",Rs./Quintal,0.48,Metric Tonnes,01-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,810.00","2,855.00","2,332.00",Rs./Quintal,1.60,Metric Tonnes,31-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"2,000.00","2,280.00","2,140.00",Rs./Quintal,0.40,Metric Tonnes,31-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,840.00","2,500.00","2,170.00",Rs./Quintal,4.00,Metric Tonnes,30-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,625.00","2,300.00","1,963.00",Rs./Quintal,1.80,Metric Tonnes,30-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,800.00","2,255.00","2,028.00",Rs./Quintal,1.40,Metric Tonnes,29-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,855.00","2,555.00","2,205.00",Rs./Quintal,1.80,Metric Tonnes,29-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,650.00","1,900.00","1,775.00",Rs./Quintal,0.30,Metric Tonnes,29-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,825.00","2,755.00","2,290.00",Rs./Quintal,1.10,Metric Tonnes,28-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,500.00","1,855.00","1,678.00",Rs./Quintal,0.80,Metric Tonnes,28-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,805.00","2,805.00","2,305.00",Rs./Quintal,2.40,Metric Tonnes,27-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"2,225.00","3,000.00","2,613.00",Rs./Quintal,0.60,Metric Tonnes,27-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,700.00","3,130.00","2,415.00",Rs./Quintal,1.10,Metric Tonnes,27-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,855.00","2,755.00","2,305.00",Rs./Quintal,2.20,Metric Tonnes,26-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,865.00","2,725.00","2,295.00",Rs./Quintal,1.20,Metric Tonnes,26-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,800.00","2,575.00","2,188.00",Rs./Quintal,0.50,Metric Tonnes,25-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,655.00","3,000.00","2,328.00",Rs./Quintal,3.00,Metric Tonnes,25-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,880.00","2,540.00","2,210.00",Rs./Quintal,2.00,Metric Tonnes,24-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,900.00","4,200.00","3,050.00",Rs./Quintal,7.80,Metric Tonnes,24-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,785.00","2,020.00","1,903.00",Rs./Quintal,1.70,Metric Tonnes,24-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,900.00","2,755.00","2,328.00",Rs./Quintal,2.00,Metric Tonnes,23-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,850.00","2,555.00","2,203.00",Rs./Quintal,0.60,Metric Tonnes,23-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"2,000.00","2,705.00","2,353.00",Rs./Quintal,2.70,Metric Tonnes,22-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,840.00","2,500.00","2,170.00",Rs./Quintal,3.20,Metric Tonnes,22-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,800.00","2,425.00","2,113.00",Rs./Quintal,1.20,Metric Tonnes,22-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,930.00","3,000.00","2,465.00",Rs./Quintal,3.20,Metric Tonnes,21-11-2025
