,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Banana - Green,Other,FAQ,700.00,"1,500.00","1,350.00",Rs./Quintal,2.80,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Banana - Green,Other,FAQ,"1,000.00","2,000.00","1,650.00",Rs./Quintal,3.60,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Banana - Green,Other,FAQ,800.00,"1,500.00","1,400.00",Rs./Quintal,2.60,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Banana - Green,Other,FAQ,800.00,"1,750.00","1,400.00",Rs./Quintal,1.50,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Banana - Green,Other,FAQ,800.00,"1,500.00","1,350.00",Rs./Quintal,5.30,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Banana - Green,Other,FAQ,500.00,800.00,700.00,Rs./Quintal,2.60,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Banana - Green,Other,FAQ,"1,000.00","1,750.00","1,450.00",Rs./Quintal,2.30,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Banana - Green,Other,FAQ,500.00,"1,250.00","1,150.00",Rs./Quintal,12.60,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Banana - Green,Other,FAQ,800.00,"1,800.00","1,250.00",Rs./Quintal,7.70,Metric Tonnes,28-01-2026
