,,,,,,,Daily Price Arrival Report-08-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,0.50,Metric Tonnes,27-11-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,655.00","2,655.00","2,655.00",Rs./Quintal,0.70,Metric Tonnes,17-12-2025
Gujarat,Banaskanth,Dhanera APMC,Cereals,Barley(Jau),Hybrid,Local,"2,500.00","2,500.00","2,500.00",Rs./Quintal,0.30,Metric Tonnes,22-01-2026
Gujarat,Banaskanth,Dhanera APMC,Cereals,Barley(Jau),Other,FAQ,"2,800.00","2,800.00","2,800.00",Rs./Quintal,0.50,Metric Tonnes,13-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Barley(Jau),Local,Local,"2,500.00","2,500.00","2,500.00",Rs./Quintal,0.02,Metric Tonnes,18-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Barley(Jau),Other,Local,"2,690.00","2,690.00","2,690.00",Rs./Quintal,0.02,Metric Tonnes,10-12-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Barley(Jau),Other,Local,"2,350.00","2,350.00","2,350.00",Rs./Quintal,0.05,Metric Tonnes,10-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Barley(Jau),Other,Local,"2,295.00","2,295.00","2,295.00",Rs./Quintal,0.02,Metric Tonnes,08-11-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Barley(Jau),Dara,FAQ,"2,100.00","2,100.00","2,100.00",Rs./Quintal,0.20,Metric Tonnes,29-11-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Barley(Jau),Dara,FAQ,"2,330.00","2,330.00","2,330.00",Rs./Quintal,0.90,Metric Tonnes,14-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,300.00","2,600.00","2,500.00",Rs./Quintal,0.10,Metric Tonnes,31-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,300.00","2,600.00","2,500.00",Rs./Quintal,0.20,Metric Tonnes,31-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,300.00","2,700.00","2,500.00",Rs./Quintal,0.90,Metric Tonnes,29-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,300.00","2,600.00","2,450.00",Rs./Quintal,0.20,Metric Tonnes,26-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,300.00","2,600.00","2,500.00",Rs./Quintal,0.20,Metric Tonnes,24-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,300.00","2,600.00","2,500.00",Rs./Quintal,1.90,Metric Tonnes,20-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,200.00","2,450.00","2,300.00",Rs./Quintal,2.20,Metric Tonnes,13-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,200.00","2,450.00","2,300.00",Rs./Quintal,0.70,Metric Tonnes,08-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,300.00","2,600.00","2,500.00",Rs./Quintal,0.20,Metric Tonnes,07-02-2026
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,300.00","2,600.00","2,500.00",Rs./Quintal,0.20,Metric Tonnes,03-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Barley(Jau),Other,Local,"2,200.00","2,450.00","2,350.00",Rs./Quintal,0.20,Metric Tonnes,02-12-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,250.00","2,400.00","2,325.00",Rs./Quintal,0.60,Metric Tonnes,28-11-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,400.00","2,400.00","2,400.00",Rs./Quintal,0.43,Metric Tonnes,26-11-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,755.00","3,265.00","3,010.00",Rs./Quintal,0.85,Metric Tonnes,24-11-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,050.00","2,050.00","2,050.00",Rs./Quintal,0.17,Metric Tonnes,22-11-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,500.00","2,620.00","2,560.00",Rs./Quintal,0.60,Metric Tonnes,21-11-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"3,135.00","3,135.00","3,135.00",Rs./Quintal,0.09,Metric Tonnes,19-11-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,710.00","3,105.00","2,907.00",Rs./Quintal,0.34,Metric Tonnes,17-11-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"1,800.00","2,710.00","2,255.00",Rs./Quintal,0.17,Metric Tonnes,10-11-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,000.00","2,595.00","2,297.50",Rs./Quintal,1.11,Metric Tonnes,09-12-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,510.00","2,510.00","2,510.00",Rs./Quintal,0.17,Metric Tonnes,08-11-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,0.26,Metric Tonnes,05-01-2026
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,255.00","2,255.00","2,255.00",Rs./Quintal,0.09,Metric Tonnes,03-12-2025
Gujarat,Patan,Siddhpur APMC,Cereals,Barley(Jau),Deshi,FAQ,"2,605.00","2,605.00","2,605.00",Rs./Quintal,0.09,Metric Tonnes,01-12-2025

