,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,700.00,"1,700.00","1,100.00",Rs./Quintal,21.30,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,600.00,"1,250.00",900.00,Rs./Quintal,33.80,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,600.00,"1,700.00","1,100.00",Rs./Quintal,35.00,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,500.00,"1,250.00",900.00,Rs./Quintal,16.50,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,800.00,"1,700.00","1,250.00",Rs./Quintal,34.30,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","2,000.00","1,600.00",Rs./Quintal,20.40,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,500.00,"1,250.00",900.00,Rs./Quintal,30.80,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","2,500.00","1,850.00",Rs./Quintal,24.30,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,500.00,"1,000.00",900.00,Rs./Quintal,17.70,Metric Tonnes,28-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","2,500.00","1,750.00",Rs./Quintal,25.20,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,600.00,"1,000.00",800.00,Rs./Quintal,38.90,Metric Tonnes,27-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,700.00,"1,800.00","1,200.00",Rs./Quintal,45.40,Metric Tonnes,26-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,800.00,"2,000.00","1,100.00",Rs./Quintal,26.00,Metric Tonnes,24-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,500.00","2,800.00","2,550.00",Rs./Quintal,44.20,Metric Tonnes,24-11-2025
