,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"1,000.00","3,000.00","2,350.00",Rs./Quintal,15.90,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"1,000.00","3,500.00","2,350.00",Rs./Quintal,11.20,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"2,000.00","6,500.00","5,000.00",Rs./Quintal,9.80,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"1,000.00","3,500.00","2,350.00",Rs./Quintal,10.60,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"2,000.00","7,000.00","5,350.00",Rs./Quintal,12.70,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"1,000.00","3,000.00","2,200.00",Rs./Quintal,15.40,Metric Tonnes,28-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"2,000.00","7,000.00","4,500.00",Rs./Quintal,6.40,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"1,000.00","3,500.00","2,300.00",Rs./Quintal,22.70,Metric Tonnes,27-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"2,500.00","8,000.00","6,500.00",Rs./Quintal,18.80,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"1,000.00","2,500.00","2,000.00",Rs./Quintal,11.90,Metric Tonnes,24-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"1,200.00","3,500.00","2,750.00",Rs./Quintal,32.10,Metric Tonnes,23-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"1,500.00","4,000.00","3,650.00",Rs./Quintal,39.80,Metric Tonnes,22-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"2,500.00","9,000.00","6,000.00",Rs./Quintal,14.60,Metric Tonnes,22-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Brinjal,Other,FAQ,"1,000.00","3,000.00","2,150.00",Rs./Quintal,7.60,Metric Tonnes,22-01-2026
