,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,200.00",850.00,Rs./Quintal,98.30,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,200.00",950.00,Rs./Quintal,166.00,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,200.00",750.00,Rs./Quintal,257.00,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,200.00",950.00,Rs./Quintal,160.90,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,600.00,"1,300.00","1,000.00",Rs./Quintal,306.80,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,800.00,"1,800.00","1,400.00",Rs./Quintal,129.80,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,200.00","1,050.00",Rs./Quintal,189.30,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,900.00,"2,500.00","2,250.00",Rs./Quintal,212.20,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,600.00,"1,300.00","1,100.00",Rs./Quintal,230.00,Metric Tonnes,28-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,200.00",900.00,Rs./Quintal,109.10,Metric Tonnes,27-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","3,000.00","2,000.00",Rs./Quintal,128.00,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,600.00,"1,200.00",950.00,Rs./Quintal,360.00,Metric Tonnes,27-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,100.00",850.00,Rs./Quintal,294.80,Metric Tonnes,26-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,400.00,"1,100.00",800.00,Rs./Quintal,209.70,Metric Tonnes,24-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,500.00","3,000.00","2,100.00",Rs./Quintal,106.30,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,200.00",900.00,Rs./Quintal,137.90,Metric Tonnes,24-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,000.00",750.00,Rs./Quintal,219.10,Metric Tonnes,23-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,000.00",750.00,Rs./Quintal,388.30,Metric Tonnes,22-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","2,750.00","1,750.00",Rs./Quintal,151.50,Metric Tonnes,22-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,300.00","1,050.00",Rs./Quintal,114.10,Metric Tonnes,22-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,200.00","3,250.00","2,150.00",Rs./Quintal,193.40,Metric Tonnes,21-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,300.00",700.00,Rs./Quintal,199.10,Metric Tonnes,21-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,400.00,"1,000.00",800.00,Rs./Quintal,103.20,Metric Tonnes,20-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,500.00","3,000.00","2,300.00",Rs./Quintal,119.30,Metric Tonnes,20-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,400.00,"1,100.00",800.00,Rs./Quintal,186.10,Metric Tonnes,19-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,500.00","3,200.00","2,250.00",Rs./Quintal,177.20,Metric Tonnes,19-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,500.00","1,100.00",Rs./Quintal,284.60,Metric Tonnes,19-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,000.00",850.00,Rs./Quintal,197.90,Metric Tonnes,18-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,500.00","3,000.00","2,200.00",Rs./Quintal,246.90,Metric Tonnes,18-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","2,800.00","2,150.00",Rs./Quintal,134.90,Metric Tonnes,17-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,300.00","1,200.00",Rs./Quintal,178.40,Metric Tonnes,17-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,800.00,"1,500.00","1,200.00",Rs./Quintal,144.70,Metric Tonnes,16-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,700.00,"1,500.00","1,000.00",Rs./Quintal,182.60,Metric Tonnes,16-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,700.00,"1,400.00","1,250.00",Rs./Quintal,255.10,Metric Tonnes,15-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,700.00,"1,500.00","1,000.00",Rs./Quintal,174.40,Metric Tonnes,15-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","3,000.00","2,200.00",Rs./Quintal,220.00,Metric Tonnes,13-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,800.00,"1,500.00","1,350.00",Rs./Quintal,154.60,Metric Tonnes,13-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,700.00,"1,200.00","1,050.00",Rs./Quintal,181.70,Metric Tonnes,12-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","3,000.00","1,550.00",Rs./Quintal,241.20,Metric Tonnes,12-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","1,600.00","1,350.00",Rs./Quintal,185.20,Metric Tonnes,11-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","3,500.00","1,600.00",Rs./Quintal,234.20,Metric Tonnes,11-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","1,500.00","1,250.00",Rs./Quintal,177.90,Metric Tonnes,10-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","3,000.00","1,700.00",Rs./Quintal,297.80,Metric Tonnes,10-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","1,800.00","1,400.00",Rs./Quintal,127.40,Metric Tonnes,09-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,600.00,"1,000.00",900.00,Rs./Quintal,165.40,Metric Tonnes,09-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","1,800.00","1,550.00",Rs./Quintal,425.20,Metric Tonnes,08-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","2,000.00","1,600.00",Rs./Quintal,132.70,Metric Tonnes,08-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,200.00",750.00,Rs./Quintal,169.90,Metric Tonnes,08-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","3,500.00","1,250.00",Rs./Quintal,133.70,Metric Tonnes,07-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,500.00,"1,200.00",850.00,Rs./Quintal,160.90,Metric Tonnes,07-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,"1,000.00","2,000.00","1,550.00",Rs./Quintal,140.80,Metric Tonnes,06-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Cabbage,Other,FAQ,400.00,"1,200.00","1,050.00",Rs./Quintal,86.50,Metric Tonnes,06-02-2026
