,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,200.00","2,050.00",Rs./Quintal,22.00,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,800.00","2,600.00",Rs./Quintal,39.50,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,800.00","2,300.00","2,100.00",Rs./Quintal,33.40,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,800.00","3,000.00","2,650.00",Rs./Quintal,36.60,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,500.00","2,000.00",Rs./Quintal,58.70,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"7,000.00","9,000.00","8,200.00",Rs./Quintal,25.30,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"2,000.00","2,600.00","2,400.00",Rs./Quintal,38.10,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"7,000.00","8,500.00","7,500.00",Rs./Quintal,28.00,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,250.00","2,100.00",Rs./Quintal,47.30,Metric Tonnes,28-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,500.00","2,200.00",Rs./Quintal,20.10,Metric Tonnes,27-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"6,000.00","7,000.00","6,500.00",Rs./Quintal,24.10,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,200.00","2,100.00",Rs./Quintal,84.80,Metric Tonnes,27-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,000.00","1,750.00",Rs./Quintal,42.90,Metric Tonnes,26-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,500.00","1,850.00",Rs./Quintal,47.90,Metric Tonnes,24-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"6,000.00","8,000.00","7,500.00",Rs./Quintal,55.90,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,500.00","2,200.00",Rs./Quintal,32.40,Metric Tonnes,24-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"2,200.00","3,200.00","2,500.00",Rs./Quintal,46.50,Metric Tonnes,23-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"2,000.00","3,200.00","2,800.00",Rs./Quintal,59.00,Metric Tonnes,22-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"5,000.00","8,000.00","7,000.00",Rs./Quintal,23.00,Metric Tonnes,22-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,500.00","2,350.00",Rs./Quintal,48.20,Metric Tonnes,22-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"5,500.00","6,500.00","6,350.00",Rs./Quintal,34.90,Metric Tonnes,21-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,700.00","2,100.00",Rs./Quintal,36.50,Metric Tonnes,21-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"2,000.00","3,000.00","2,800.00",Rs./Quintal,49.00,Metric Tonnes,20-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"5,000.00","6,500.00","5,800.00",Rs./Quintal,33.00,Metric Tonnes,20-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"2,000.00","3,000.00","2,700.00",Rs./Quintal,33.90,Metric Tonnes,19-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"6,000.00","7,000.00","6,500.00",Rs./Quintal,70.40,Metric Tonnes,19-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,500.00","1,950.00",Rs./Quintal,74.90,Metric Tonnes,19-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"5,000.00","8,000.00","7,000.00",Rs./Quintal,48.10,Metric Tonnes,18-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"5,000.00","6,500.00","6,000.00",Rs./Quintal,23.60,Metric Tonnes,17-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Capsicum,Capsicum,FAQ,"1,500.00","2,000.00","1,850.00",Rs./Quintal,29.80,Metric Tonnes,17-01-2026
