,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Dhandhuka APMC,Fibre Crops,Cotton,Other,FAQ,"6,560.00","7,595.00","7,300.00",Rs./Quintal,40.50,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Dhandhuka APMC,Fibre Crops,Cotton,Other,FAQ,"5,900.00","7,920.00","7,700.00",Rs./Quintal,14.50,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Dhandhuka APMC,Fibre Crops,Cotton,Other,FAQ,"5,600.00","7,400.00","7,100.00",Rs./Quintal,48.50,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Dhandhuka APMC,Fibre Crops,Cotton,Other,FAQ,"6,150.00","7,920.00","7,650.00",Rs./Quintal,13.00,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Dhandhuka APMC,Fibre Crops,Cotton,Other,FAQ,"6,200.00","7,500.00","7,200.00",Rs./Quintal,47.00,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Dhandhuka APMC,Fibre Crops,Cotton,Other,FAQ,"5,000.00","7,605.00","7,150.00",Rs./Quintal,53.00,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Dhandhuka APMC,Fibre Crops,Cotton,Other,FAQ,"5,750.00","7,915.00","7,700.00",Rs./Quintal,27.00,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Dhandhuka APMC,Fibre Crops,Cotton,Other,FAQ,"5,670.00","7,540.00","6,800.00",Rs./Quintal,45.00,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Dhandhuka APMC,Fibre Crops,Cotton,Other,FAQ,"6,500.00","8,075.00","7,700.00",Rs./Quintal,16.00,Metric Tonnes,28-01-2026
Gujarat,Ahmedabad,Dhandhuka APMC,Fibre Crops,Cotton,Other,FAQ,"6,250.00","7,550.00","7,250.00",Rs./Quintal,40.00,Metric Tonnes,27-12-2025
