,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Banaskanth,Lakhani APMC,Oil Seeds,Cotton Seed,Other,Local,"6,950.00","6,950.00","6,950.00",Rs./Quintal,2.00,Metric Tonnes,15-12-2025
Gujarat,Banaskanth,Lakhani APMC,Oil Seeds,Cotton Seed,Other,Local,"6,500.00","6,500.00","6,500.00",Rs./Quintal,7.00,Metric Tonnes,11-11-2025
Gujarat,Gandhinagar,Mansa APMC,Oil Seeds,Cotton Seed,Cotton Seed,Local,"6,425.00","7,550.00","7,260.00",Rs./Quintal,76.50,Metric Tonnes,09-12-2025
Gujarat,Gandhinagar,Mansa APMC,Oil Seeds,Cotton Seed,Cotton Seed,Local,"6,400.00","7,575.00","7,200.00",Rs./Quintal,69.80,Metric Tonnes,08-12-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"7,000.00","8,110.00","7,875.00",Rs./Quintal,47.70,Metric Tonnes,30-01-2026
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"6,000.00","7,455.00","7,000.00",Rs./Quintal,44.10,Metric Tonnes,29-11-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"6,000.00","7,810.00","7,200.00",Rs./Quintal,46.10,Metric Tonnes,27-12-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"6,000.00","7,625.00","7,000.00",Rs./Quintal,64.50,Metric Tonnes,26-11-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"5,250.00","7,595.00","6,800.00",Rs./Quintal,79.80,Metric Tonnes,24-11-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"6,000.00","7,665.00","7,125.00",Rs./Quintal,65.00,Metric Tonnes,23-12-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"7,000.00","8,215.00","7,900.00",Rs./Quintal,50.50,Metric Tonnes,22-01-2026
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"5,500.00","7,475.00","6,950.00",Rs./Quintal,62.40,Metric Tonnes,21-11-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"6,000.00","7,630.00","7,530.00",Rs./Quintal,36.90,Metric Tonnes,20-12-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"7,000.00","8,090.00","7,750.00",Rs./Quintal,23.40,Metric Tonnes,17-01-2026
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"6,850.00","8,110.00","7,800.00",Rs./Quintal,28.30,Metric Tonnes,16-01-2026
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"5,750.00","7,460.00","7,000.00",Rs./Quintal,101.40,Metric Tonnes,14-11-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"5,500.00","7,575.00","7,050.00",Rs./Quintal,40.20,Metric Tonnes,13-12-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"5,750.00","7,685.00","7,100.00",Rs./Quintal,57.00,Metric Tonnes,12-12-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"5,500.00","7,690.00","7,100.00",Rs./Quintal,58.30,Metric Tonnes,10-12-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"4,750.00","7,500.00","6,650.00",Rs./Quintal,111.70,Metric Tonnes,10-11-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"6,750.00","8,000.00","7,650.00",Rs./Quintal,42.40,Metric Tonnes,09-01-2026
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"5,750.00","7,620.00","7,150.00",Rs./Quintal,62.00,Metric Tonnes,08-12-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Cotton Seed,Local,"7,150.00","7,150.00","7,150.00",Rs./Quintal,162.10,Metric Tonnes,08-11-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"7,000.00","8,020.00","7,800.00",Rs./Quintal,26.00,Metric Tonnes,07-02-2026
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"5,500.00","7,580.00","7,125.00",Rs./Quintal,35.00,Metric Tonnes,06-12-2025
Gujarat,Mehsana,Vijapur APMC,Oil Seeds,Cotton Seed,Other,Local,"7,000.00","8,045.00","7,800.00",Rs./Quintal,25.70,Metric Tonnes,06-02-2026
