,,,,,,,Daily Price Arrival Report-08-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"1,800.00","5,375.00","3,950.00",Rs./Quintal,4.10,Metric Tonnes,28-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"3,000.00","3,000.00","3,000.00",Rs./Quintal,2.00,Metric Tonnes,26-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"4,500.00","5,490.00","5,490.00",Rs./Quintal,0.90,Metric Tonnes,25-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,700.00","4,550.00","3,755.00",Rs./Quintal,1.50,Metric Tonnes,23-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"3,750.00","4,650.00","4,650.00",Rs./Quintal,0.10,Metric Tonnes,22-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"3,250.00","6,525.00","4,750.00",Rs./Quintal,0.20,Metric Tonnes,21-01-2026
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"3,260.00","4,840.00","4,250.00",Rs./Quintal,2.50,Metric Tonnes,20-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"1,850.00","4,775.00","4,260.00",Rs./Quintal,0.40,Metric Tonnes,19-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"3,350.00","3,350.00","3,350.00",Rs./Quintal,0.70,Metric Tonnes,18-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"3,800.00","4,525.00","4,450.00",Rs./Quintal,0.30,Metric Tonnes,17-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"4,155.00","4,155.00","4,155.00",Rs./Quintal,0.10,Metric Tonnes,16-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"3,325.00","5,050.00","5,050.00",Rs./Quintal,0.60,Metric Tonnes,15-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,300.00","4,905.00","3,500.00",Rs./Quintal,0.70,Metric Tonnes,15-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,500.00","5,100.00","3,755.00",Rs./Quintal,3.20,Metric Tonnes,14-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"4,680.00","4,680.00","4,680.00",Rs./Quintal,0.20,Metric Tonnes,13-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Other,Grade Range-2,"5,075.00","5,075.00","5,075.00",Rs./Quintal,2.20,Metric Tonnes,13-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,700.00","5,500.00","3,000.00",Rs./Quintal,0.20,Metric Tonnes,11-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"3,550.00","4,755.00","4,750.00",Rs./Quintal,2.50,Metric Tonnes,10-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,950.00","4,700.00","4,000.00",Rs./Quintal,1.00,Metric Tonnes,09-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,200.00","4,800.00","4,800.00",Rs./Quintal,0.20,Metric Tonnes,08-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,625.00","6,350.00","5,000.00",Rs./Quintal,2.40,Metric Tonnes,08-01-2026
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,250.00","2,250.00","2,250.00",Rs./Quintal,3.20,Metric Tonnes,07-02-2026
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,250.00","4,600.00","2,875.00",Rs./Quintal,0.40,Metric Tonnes,07-01-2026
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"5,000.00","5,000.00","5,000.00",Rs./Quintal,0.30,Metric Tonnes,06-02-2026
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,250.00","2,750.00","2,750.00",Rs./Quintal,2.00,Metric Tonnes,05-01-2026
Gujarat,Amreli,Amreli APMC,Cereals,Jowar(Sorghum),Jowar ( White),FAQ,"2,000.00","5,250.00","4,000.00",Rs./Quintal,0.90,Metric Tonnes,02-12-2025
Gujarat,Amreli,Bagasara APMC,Cereals,Jowar(Sorghum),Jowar (Yellow),Local,"3,700.00","3,700.00","3,700.00",Rs./Quintal,0.30,Metric Tonnes,29-11-2025
Gujarat,Amreli,Bagasara APMC,Cereals,Jowar(Sorghum),Jowar (Yellow),Local,"3,650.00","3,750.00","3,700.00",Rs./Quintal,0.20,Metric Tonnes,25-11-2025
Gujarat,Amreli,Bagasara APMC,Cereals,Jowar(Sorghum),Jowar (Yellow),Local,"1,500.00","2,400.00","1,950.00",Rs./Quintal,0.20,Metric Tonnes,23-01-2026
Gujarat,Amreli,Bagasara APMC,Cereals,Jowar(Sorghum),Jowar (Yellow),Local,"2,000.00","4,400.00","3,200.00",Rs./Quintal,0.50,Metric Tonnes,21-01-2026
Gujarat,Amreli,Bagasara APMC,Cereals,Jowar(Sorghum),Jowar (Yellow),Local,"4,500.00","5,000.00","4,750.00",Rs./Quintal,1.00,Metric Tonnes,19-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"4,000.00","5,375.00","4,688.00",Rs./Quintal,0.60,Metric Tonnes,31-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,875.00","5,855.00","4,865.00",Rs./Quintal,0.60,Metric Tonnes,31-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,255.00","5,380.00","3,818.00",Rs./Quintal,1.70,Metric Tonnes,30-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,505.00","6,050.00","4,777.00",Rs./Quintal,0.20,Metric Tonnes,30-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"4,750.00","5,300.00","5,025.00",Rs./Quintal,0.20,Metric Tonnes,29-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,500.00","5,000.00","4,250.00",Rs./Quintal,0.70,Metric Tonnes,29-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"5,255.00","5,255.00","5,255.00",Rs./Quintal,2.00,Metric Tonnes,29-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"4,050.00","4,900.00","4,475.00",Rs./Quintal,1.80,Metric Tonnes,28-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,010.00","5,855.00","4,433.00",Rs./Quintal,2.50,Metric Tonnes,28-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,255.00","5,560.00","3,908.00",Rs./Quintal,1.30,Metric Tonnes,27-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"4,625.00","4,625.00","4,625.00",Rs./Quintal,0.10,Metric Tonnes,27-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,750.00","5,750.00","4,750.00",Rs./Quintal,0.50,Metric Tonnes,27-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,750.00","4,710.00","4,230.00",Rs./Quintal,0.20,Metric Tonnes,26-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,255.00","4,795.00","3,525.00",Rs./Quintal,1.00,Metric Tonnes,26-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,300.00","4,960.00","4,130.00",Rs./Quintal,0.20,Metric Tonnes,25-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"4,500.00","5,115.00","4,808.00",Rs./Quintal,0.70,Metric Tonnes,25-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"5,000.00","5,000.00","5,000.00",Rs./Quintal,0.20,Metric Tonnes,24-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,900.00","4,650.00","3,775.00",Rs./Quintal,0.20,Metric Tonnes,24-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,255.00","5,360.00","4,308.00",Rs./Quintal,2.00,Metric Tonnes,23-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"4,000.00","5,280.00","4,640.00",Rs./Quintal,1.60,Metric Tonnes,22-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,250.00","4,755.00","3,503.00",Rs./Quintal,2.20,Metric Tonnes,22-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,300.00","5,600.00","3,950.00",Rs./Quintal,0.40,Metric Tonnes,22-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,950.00","5,630.00","4,290.00",Rs./Quintal,5.50,Metric Tonnes,21-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"1,500.00","5,655.00","3,578.00",Rs./Quintal,0.50,Metric Tonnes,21-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,350.00","4,985.00","3,668.00",Rs./Quintal,2.30,Metric Tonnes,20-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,125.00","5,175.00","3,650.00",Rs./Quintal,2.00,Metric Tonnes,20-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,655.00","5,180.00","3,918.00",Rs./Quintal,0.20,Metric Tonnes,20-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,250.00","4,000.00","3,625.00",Rs./Quintal,0.20,Metric Tonnes,19-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,505.00","5,205.00","4,355.00",Rs./Quintal,2.30,Metric Tonnes,19-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,005.00","5,700.00","4,353.00",Rs./Quintal,0.60,Metric Tonnes,19-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,500.00","4,675.00","4,088.00",Rs./Quintal,0.20,Metric Tonnes,18-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,060.00","5,500.00","4,280.00",Rs./Quintal,2.40,Metric Tonnes,18-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,500.00","5,135.00","3,818.00",Rs./Quintal,1.60,Metric Tonnes,17-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,660.00","5,605.00","4,133.00",Rs./Quintal,1.90,Metric Tonnes,17-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,750.00","4,950.00","3,850.00",Rs./Quintal,1.00,Metric Tonnes,16-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,500.00","5,800.00","4,650.00",Rs./Quintal,0.50,Metric Tonnes,16-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"4,705.00","5,300.00","5,003.00",Rs./Quintal,1.40,Metric Tonnes,15-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,755.00","5,375.00","4,565.00",Rs./Quintal,0.20,Metric Tonnes,15-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,450.00","4,850.00","3,650.00",Rs./Quintal,2.30,Metric Tonnes,13-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,250.00","5,710.00","4,480.00",Rs./Quintal,0.40,Metric Tonnes,13-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,905.00","5,350.00","4,128.00",Rs./Quintal,1.90,Metric Tonnes,12-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,505.00","4,755.00","4,130.00",Rs./Quintal,1.00,Metric Tonnes,12-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,750.00","5,305.00","4,528.00",Rs./Quintal,2.80,Metric Tonnes,11-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,505.00","5,315.00","4,410.00",Rs./Quintal,0.60,Metric Tonnes,10-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,850.00","5,305.00","4,578.00",Rs./Quintal,0.70,Metric Tonnes,10-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,630.00","5,410.00","4,020.00",Rs./Quintal,2.50,Metric Tonnes,09-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,000.00","5,370.00","4,185.00",Rs./Quintal,2.00,Metric Tonnes,09-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,000.00","5,250.00","4,125.00",Rs./Quintal,1.30,Metric Tonnes,08-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"4,500.00","5,355.00","4,928.00",Rs./Quintal,0.60,Metric Tonnes,08-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,375.00","5,505.00","3,940.00",Rs./Quintal,1.00,Metric Tonnes,07-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,030.00","5,160.00","5,095.00",Rs./Quintal,1.00,Metric Tonnes,06-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,905.00","5,005.00","4,455.00",Rs./Quintal,1.70,Metric Tonnes,06-02-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,505.00","5,210.00","4,358.00",Rs./Quintal,1.90,Metric Tonnes,06-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,405.00","5,080.00","3,743.00",Rs./Quintal,1.70,Metric Tonnes,05-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,000.00","5,560.00","4,280.00",Rs./Quintal,3.60,Metric Tonnes,05-02-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,500.00","5,450.00","3,975.00",Rs./Quintal,0.70,Metric Tonnes,05-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,200.00","5,000.00","3,600.00",Rs./Quintal,1.00,Metric Tonnes,04-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"4,005.00","5,805.00","4,905.00",Rs./Quintal,2.60,Metric Tonnes,04-02-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,000.00","4,755.00","3,378.00",Rs./Quintal,1.90,Metric Tonnes,03-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,500.00","5,655.00","4,078.00",Rs./Quintal,4.10,Metric Tonnes,03-02-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,500.00","5,275.00","4,388.00",Rs./Quintal,1.20,Metric Tonnes,03-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,000.00","4,825.00","3,912.00",Rs./Quintal,2.30,Metric Tonnes,02-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"3,605.00","5,755.00","4,680.00",Rs./Quintal,6.80,Metric Tonnes,02-02-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,500.00","5,400.00","3,950.00",Rs./Quintal,1.30,Metric Tonnes,02-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,505.00","5,190.00","3,848.00",Rs./Quintal,3.20,Metric Tonnes,01-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Jowar(Sorghum),Local,Local,"2,705.00","5,760.00","4,233.00",Rs./Quintal,2.80,Metric Tonnes,01-01-2026
Gujarat,Amreli,Savarkundla APMC,Cereals,Jowar(Sorghum),Jowar ( White),Local,"4,750.00","6,100.00","5,500.00",Rs./Quintal,1.00,Metric Tonnes,29-11-2025
Gujarat,Amreli,Savarkundla APMC,Cereals,Jowar(Sorghum),Jowar ( White),Local,"3,665.00","6,105.00","5,000.00",Rs./Quintal,0.50,Metric Tonnes,25-11-2025
Gujarat,Amreli,Savarkundla APMC,Cereals,Jowar(Sorghum),Jowar ( White),Local,"3,205.00","5,405.00","4,150.00",Rs./Quintal,0.50,Metric Tonnes,22-01-2026
Gujarat,Amreli,Savarkundla APMC,Cereals,Jowar(Sorghum),Jowar ( White),Local,"4,750.00","5,830.00","5,400.00",Rs./Quintal,0.60,Metric Tonnes,19-11-2025
Gujarat,Amreli,Savarkundla APMC,Cereals,Jowar(Sorghum),Jowar ( White),Local,"3,500.00","4,250.00","3,600.00",Rs./Quintal,1.00,Metric Tonnes,15-12-2025
