,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"4,500.00","5,000.00","4,750.00",Rs./Quintal,0.20,Metric Tonnes,31-12-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"4,250.00","4,850.00","4,550.00",Rs./Quintal,0.20,Metric Tonnes,31-01-2026
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"4,630.00","4,950.00","4,790.00",Rs./Quintal,0.20,Metric Tonnes,30-12-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"5,825.00","5,825.00","5,825.00",Rs./Quintal,0.10,Metric Tonnes,30-01-2026
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"3,000.00","6,000.00","4,500.00",Rs./Quintal,0.40,Metric Tonnes,29-11-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"4,855.00","4,855.00","4,855.00",Rs./Quintal,0.10,Metric Tonnes,28-11-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"4,125.00","5,500.00","4,813.00",Rs./Quintal,0.80,Metric Tonnes,27-11-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"5,080.00","5,825.00","5,453.00",Rs./Quintal,0.20,Metric Tonnes,26-12-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,350.00,"5,060.00","4,405.00",Rs./Quintal,0.60,Metric Tonnes,26-11-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"3,505.00","5,000.00","4,253.00",Rs./Quintal,0.20,Metric Tonnes,25-12-2025
