,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","1,950.00",Rs./Quintal,51.60,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,200.00","2,800.00","2,150.00",Rs./Quintal,40.90,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,500.00","3,000.00","2,350.00",Rs./Quintal,37.00,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","1,850.00",Rs./Quintal,41.10,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,000.00",Rs./Quintal,102.60,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,000.00","1,600.00",Rs./Quintal,35.70,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,500.00","1,800.00",Rs./Quintal,55.00,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,000.00","1,750.00",Rs./Quintal,30.10,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,500.00","1,950.00",Rs./Quintal,30.70,Metric Tonnes,28-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,500.00,"2,500.00","1,800.00",Rs./Quintal,69.60,Metric Tonnes,27-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,500.00,"2,000.00","1,250.00",Rs./Quintal,22.00,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,500.00","1,900.00",Rs./Quintal,97.20,Metric Tonnes,27-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,700.00","1,950.00",Rs./Quintal,83.40,Metric Tonnes,26-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,150.00",Rs./Quintal,42.80,Metric Tonnes,24-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,000.00","1,750.00",Rs./Quintal,69.10,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,000.00",Rs./Quintal,37.10,Metric Tonnes,24-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,150.00",Rs./Quintal,68.40,Metric Tonnes,23-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,250.00",Rs./Quintal,116.30,Metric Tonnes,22-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,000.00","1,500.00",Rs./Quintal,46.40,Metric Tonnes,22-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,500.00","1,750.00",Rs./Quintal,41.40,Metric Tonnes,22-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,000.00","1,750.00",Rs./Quintal,45.30,Metric Tonnes,21-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,150.00",Rs./Quintal,36.90,Metric Tonnes,21-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,600.00","2,000.00",Rs./Quintal,44.20,Metric Tonnes,20-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,900.00,"2,200.00","1,600.00",Rs./Quintal,51.50,Metric Tonnes,20-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","1,900.00",Rs./Quintal,60.50,Metric Tonnes,19-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","1,900.00",Rs./Quintal,47.30,Metric Tonnes,19-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","3,000.00","2,350.00",Rs./Quintal,99.90,Metric Tonnes,19-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","1,900.00",Rs./Quintal,33.50,Metric Tonnes,18-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,500.00","1,850.00",Rs./Quintal,35.00,Metric Tonnes,18-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,000.00","1,750.00",Rs./Quintal,109.40,Metric Tonnes,17-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,500.00","3,000.00","2,250.00",Rs./Quintal,29.10,Metric Tonnes,17-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,700.00","2,200.00",Rs./Quintal,63.50,Metric Tonnes,16-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,050.00",Rs./Quintal,42.70,Metric Tonnes,16-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"3,000.00","2,650.00",Rs./Quintal,84.70,Metric Tonnes,15-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,150.00",Rs./Quintal,40.20,Metric Tonnes,15-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","1,800.00",Rs./Quintal,36.50,Metric Tonnes,13-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,500.00","2,150.00",Rs./Quintal,40.10,Metric Tonnes,13-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,500.00","2,250.00",Rs./Quintal,39.70,Metric Tonnes,12-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,150.00",Rs./Quintal,60.30,Metric Tonnes,12-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,350.00",Rs./Quintal,58.00,Metric Tonnes,11-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","3,000.00","2,300.00",Rs./Quintal,23.50,Metric Tonnes,11-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"2,500.00","2,250.00",Rs./Quintal,55.40,Metric Tonnes,10-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,150.00",Rs./Quintal,94.60,Metric Tonnes,10-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,700.00,"2,700.00","2,300.00",Rs./Quintal,52.60,Metric Tonnes,09-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,150.00",Rs./Quintal,38.50,Metric Tonnes,09-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,800.00,"3,000.00","2,350.00",Rs./Quintal,91.90,Metric Tonnes,08-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,200.00","2,500.00","1,950.00",Rs./Quintal,77.60,Metric Tonnes,08-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,200.00","2,500.00","2,250.00",Rs./Quintal,28.10,Metric Tonnes,07-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,150.00",Rs./Quintal,55.30,Metric Tonnes,07-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","3,000.00","2,350.00",Rs./Quintal,30.70,Metric Tonnes,06-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"2,000.00","4,000.00","3,250.00",Rs./Quintal,41.80,Metric Tonnes,06-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,500.00","3,000.00","2,350.00",Rs./Quintal,59.00,Metric Tonnes,06-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,000.00",Rs./Quintal,36.10,Metric Tonnes,05-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,500.00","3,500.00","3,150.00",Rs./Quintal,35.90,Metric Tonnes,05-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,500.00","3,500.00","2,800.00",Rs./Quintal,64.90,Metric Tonnes,05-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","1,850.00",Rs./Quintal,39.60,Metric Tonnes,04-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","3,200.00","2,500.00",Rs./Quintal,29.60,Metric Tonnes,04-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","1,900.00",Rs./Quintal,28.50,Metric Tonnes,03-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,500.00","3,000.00","2,650.00",Rs./Quintal,25.90,Metric Tonnes,03-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,000.00","1,550.00",Rs./Quintal,38.60,Metric Tonnes,02-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,200.00",Rs./Quintal,98.60,Metric Tonnes,02-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,150.00",Rs./Quintal,61.30,Metric Tonnes,02-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,000.00","1,750.00",Rs./Quintal,75.10,Metric Tonnes,01-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Lemon,Other,FAQ,"1,000.00","2,500.00","2,150.00",Rs./Quintal,30.00,Metric Tonnes,01-01-2026
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"1,500.00","1,500.00","1,500.00",Rs./Quintal,0.04,Metric Tonnes,31-12-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"2,500.00","2,500.00","2,500.00",Rs./Quintal,0.05,Metric Tonnes,31-01-2026
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"1,500.00","1,500.00","1,500.00",Rs./Quintal,0.06,Metric Tonnes,30-12-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"4,000.00","4,000.00","4,000.00",Rs./Quintal,0.06,Metric Tonnes,30-11-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.05,Metric Tonnes,30-01-2026
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"1,200.00","1,200.00","1,200.00",Rs./Quintal,0.06,Metric Tonnes,29-12-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"3,500.00","3,500.00","3,500.00",Rs./Quintal,0.05,Metric Tonnes,29-11-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"4,500.00","4,500.00","4,500.00",Rs./Quintal,0.05,Metric Tonnes,29-01-2026
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"4,000.00","4,000.00","4,000.00",Rs./Quintal,0.04,Metric Tonnes,28-11-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"4,000.00","4,000.00","4,000.00",Rs./Quintal,0.04,Metric Tonnes,28-01-2026
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"1,500.00","1,500.00","1,500.00",Rs./Quintal,0.05,Metric Tonnes,27-12-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,0.04,Metric Tonnes,27-11-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"3,500.00","3,500.00","3,500.00",Rs./Quintal,0.05,Metric Tonnes,27-01-2026
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,0.05,Metric Tonnes,26-12-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"2,500.00","2,500.00","2,500.00",Rs./Quintal,0.04,Metric Tonnes,26-11-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"4,000.00","4,000.00","4,000.00",Rs./Quintal,0.04,Metric Tonnes,26-01-2026
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"2,500.00","2,500.00","2,500.00",Rs./Quintal,0.05,Metric Tonnes,25-12-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"2,700.00","2,700.00","2,700.00",Rs./Quintal,0.04,Metric Tonnes,25-11-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,0.04,Metric Tonnes,25-01-2026
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.05,Metric Tonnes,24-12-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"2,600.00","2,600.00","2,600.00",Rs./Quintal,0.05,Metric Tonnes,24-11-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,0.06,Metric Tonnes,24-01-2026
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"2,200.00","2,200.00","2,200.00",Rs./Quintal,0.05,Metric Tonnes,23-12-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"3,200.00","3,200.00","3,200.00",Rs./Quintal,0.03,Metric Tonnes,23-11-2025
Gujarat,Amreli,Damnagar APMC,Vegetables,Lemon,Lemon,Local,"3,500.00","3,500.00","3,500.00",Rs./Quintal,0.05,Metric Tonnes,23-01-2026
