,,,,,,,Daily Price Arrival Report-08-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Amreli,Amreli APMC,Cereals,Maize,Other,FAQ,"1,450.00","2,325.00","2,325.00",Rs./Quintal,0.10,Metric Tonnes,29-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Maize,Other,FAQ,"1,700.00","2,500.00","2,500.00",Rs./Quintal,0.20,Metric Tonnes,21-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Maize,Other,FAQ,"1,800.00","2,000.00","2,000.00",Rs./Quintal,0.70,Metric Tonnes,21-01-2026
Gujarat,Amreli,Amreli APMC,Cereals,Maize,Other,FAQ,"1,500.00","1,600.00","1,600.00",Rs./Quintal,0.70,Metric Tonnes,18-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Maize,Other,FAQ,"2,000.00","3,000.00","2,750.00",Rs./Quintal,0.20,Metric Tonnes,16-12-2025
Gujarat,Amreli,Amreli APMC,Cereals,Maize,Other,FAQ,"1,500.00","2,750.00","2,750.00",Rs./Quintal,0.10,Metric Tonnes,14-11-2025
Gujarat,Amreli,Amreli APMC,Cereals,Maize,Other,FAQ,"1,675.00","1,775.00","1,775.00",Rs./Quintal,5.50,Metric Tonnes,07-02-2026
Gujarat,Amreli,Amreli APMC,Cereals,Maize,Other,FAQ,"1,650.00","1,975.00","1,750.00",Rs./Quintal,1.30,Metric Tonnes,04-02-2026
Gujarat,Amreli,Amreli APMC,Cereals,Maize,Other,FAQ,"1,725.00","1,725.00","1,725.00",Rs./Quintal,1.10,Metric Tonnes,03-02-2026
Gujarat,Amreli,Amreli APMC,Cereals,Maize,Other,FAQ,"2,010.00","2,010.00","2,010.00",Rs./Quintal,1.00,Metric Tonnes,01-12-2025
Gujarat,Amreli,Bagasara APMC,Cereals,Maize,Other,Local,"3,500.00","4,700.00","4,100.00",Rs./Quintal,0.20,Metric Tonnes,28-11-2025
Gujarat,Amreli,Bagasara APMC,Cereals,Maize,Other,Local,"3,175.00","3,225.00","3,200.00",Rs./Quintal,0.10,Metric Tonnes,20-11-2025
Gujarat,Amreli,Bagasara APMC,Cereals,Maize,Other,Local,"3,175.00","3,505.00","3,340.00",Rs./Quintal,0.20,Metric Tonnes,19-11-2025
Gujarat,Amreli,Dhari APMC,Cereals,Maize,Deshi Red,Local,"2,200.00","2,200.00","2,200.00",Rs./Quintal,0.02,Metric Tonnes,17-01-2026
Gujarat,Amreli,Dhari APMC,Cereals,Maize,Deshi Red,FAQ,"2,750.00","2,750.00","2,750.00",Rs./Quintal,0.06,Metric Tonnes,02-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,240.00","2,240.00","2,240.00",Rs./Quintal,0.30,Metric Tonnes,26-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,0.10,Metric Tonnes,25-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,850.00","2,850.00","2,850.00",Rs./Quintal,0.10,Metric Tonnes,24-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,530.00","2,530.00","2,530.00",Rs./Quintal,0.20,Metric Tonnes,22-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,330.00","2,855.00","2,593.00",Rs./Quintal,0.20,Metric Tonnes,19-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,775.00","2,775.00","2,775.00",Rs./Quintal,0.20,Metric Tonnes,18-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,825.00","2,825.00","2,825.00",Rs./Quintal,0.10,Metric Tonnes,15-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.20,Metric Tonnes,13-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,330.00","4,545.00","3,438.00",Rs./Quintal,0.30,Metric Tonnes,10-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,060.00","2,060.00","2,060.00",Rs./Quintal,0.10,Metric Tonnes,09-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,500.00","2,500.00","2,500.00",Rs./Quintal,0.10,Metric Tonnes,08-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Maize,Other,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,0.10,Metric Tonnes,05-12-2025
Gujarat,Amreli,Savarkundla APMC,Cereals,Maize,Hybrid,Local,"2,075.00","2,500.00","2,250.00",Rs./Quintal,3.00,Metric Tonnes,27-11-2025
Gujarat,Amreli,Savarkundla APMC,Cereals,Maize,Hybrid,Local,"2,450.00","2,555.00","2,525.00",Rs./Quintal,1.20,Metric Tonnes,14-11-2025
Gujarat,Amreli,Savarkundla APMC,Cereals,Maize,Hybrid,Local,"1,500.00","2,525.00","2,150.00",Rs./Quintal,1.00,Metric Tonnes,06-01-2026
Gujarat,Anand,Anand APMC,Cereals,Maize,Yellow,Grade Range-2,"3,250.00","3,250.00","3,250.00",Rs./Quintal,0.16,Metric Tonnes,14-11-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,055.00","2,055.00","2,055.00",Rs./Quintal,1.00,Metric Tonnes,31-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,100.00","2,100.00","2,100.00",Rs./Quintal,0.70,Metric Tonnes,28-11-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,075.00","2,235.00","2,235.00",Rs./Quintal,2.40,Metric Tonnes,27-11-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,350.00","2,650.00","2,350.00",Rs./Quintal,0.10,Metric Tonnes,25-11-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,205.00","2,300.00","2,300.00",Rs./Quintal,0.30,Metric Tonnes,24-11-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.80,Metric Tonnes,22-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,240.00","2,405.00","2,405.00",Rs./Quintal,0.30,Metric Tonnes,21-11-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,095.00","2,095.00","2,095.00",Rs./Quintal,0.10,Metric Tonnes,20-01-2026
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.40,Metric Tonnes,19-01-2026
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Hybrid/Local,FAQ,"1,900.00","2,125.00","2,125.00",Rs./Quintal,2.00,Metric Tonnes,17-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,390.00","2,390.00","2,390.00",Rs./Quintal,0.40,Metric Tonnes,13-11-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,075.00","2,075.00","2,075.00",Rs./Quintal,1.50,Metric Tonnes,08-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,175.00","2,175.00","2,175.00",Rs./Quintal,0.20,Metric Tonnes,06-01-2026
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Hybrid/Local,FAQ,"1,965.00","2,105.00","2,105.00",Rs./Quintal,1.70,Metric Tonnes,04-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"1,985.00","2,000.00","2,000.00",Rs./Quintal,1.50,Metric Tonnes,03-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,025.00","2,025.00","2,025.00",Rs./Quintal,0.80,Metric Tonnes,02-12-2025
Gujarat,Banaskanth,Dhanera APMC,Cereals,Maize,Deshi Red,Non-FAQ,"1,855.00","1,855.00","1,855.00",Rs./Quintal,0.90,Metric Tonnes,21-11-2025
