,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,200.00","1,100.00",Rs./Quintal,70.80,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,700.00,900.00,850.00,Rs./Quintal,50.80,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,500.00,"1,400.00","1,150.00",Rs./Quintal,395.90,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,500.00","1,600.00","1,550.00",Rs./Quintal,29.30,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,500.00,700.00,650.00,Rs./Quintal,380.50,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,800.00,"1,000.00",950.00,Rs./Quintal,75.30,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,600.00","1,800.00","1,750.00",Rs./Quintal,26.00,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,200.00","1,100.00",Rs./Quintal,110.90,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,800.00,"1,000.00",950.00,Rs./Quintal,41.80,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,500.00,"1,200.00","1,000.00",Rs./Quintal,413.90,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,500.00","1,600.00","1,550.00",Rs./Quintal,0.10,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,450.00,800.00,700.00,Rs./Quintal,332.50,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,800.00,"1,100.00","1,000.00",Rs./Quintal,0.10,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,900.00","2,000.00","1,950.00",Rs./Quintal,0.10,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,750.00,"1,000.00",950.00,Rs./Quintal,156.00,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,143.70,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,500.00,"1,400.00","1,200.00",Rs./Quintal,268.80,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,500.00","2,000.00","1,800.00",Rs./Quintal,0.10,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,750.00,"1,500.00","1,200.00",Rs./Quintal,195.90,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,"1,200.00","1,600.00","1,500.00",Rs./Quintal,365.70,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,"1,100.00","1,600.00","1,400.00",Rs./Quintal,232.90,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,400.00","1,500.00","1,450.00",Rs./Quintal,0.10,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,500.00,750.00,700.00,Rs./Quintal,349.20,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,500.00,"1,000.00",850.00,Rs./Quintal,34.90,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,650.00,"1,500.00","1,300.00",Rs./Quintal,33.40,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,"1,200.00","1,500.00","1,400.00",Rs./Quintal,168.80,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,"1,000.00","1,500.00","1,350.00",Rs./Quintal,184.90,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,400.00","1,600.00","1,550.00",Rs./Quintal,10.00,Metric Tonnes,28-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,500.00,800.00,700.00,Rs./Quintal,483.80,Metric Tonnes,28-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,48.10,Metric Tonnes,28-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,900.00","2,000.00","1,950.00",Rs./Quintal,0.10,Metric Tonnes,27-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,400.00","1,300.00",Rs./Quintal,96.80,Metric Tonnes,27-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,900.00,"1,000.00",950.00,Rs./Quintal,267.80,Metric Tonnes,27-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,500.00,"1,400.00","1,100.00",Rs./Quintal,527.40,Metric Tonnes,27-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,500.00","2,000.00","1,750.00",Rs./Quintal,23.90,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,500.00","1,250.00",Rs./Quintal,154.20,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,"1,300.00","1,650.00","1,475.00",Rs./Quintal,259.60,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,800.00,"1,500.00","1,150.00",Rs./Quintal,86.20,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,200.00","1,600.00","1,500.00",Rs./Quintal,9.30,Metric Tonnes,27-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,500.00,800.00,700.00,Rs./Quintal,419.00,Metric Tonnes,27-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,"1,100.00","1,200.00","1,150.00",Rs./Quintal,42.10,Metric Tonnes,27-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,900.00","2,000.00","1,950.00",Rs./Quintal,38.70,Metric Tonnes,26-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,750.00,"1,250.00","1,100.00",Rs./Quintal,263.70,Metric Tonnes,26-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,900.00,"1,000.00",950.00,Rs./Quintal,292.80,Metric Tonnes,26-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,900.00,"1,200.00","1,000.00",Rs./Quintal,845.80,Metric Tonnes,26-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,500.00","2,200.00","2,050.00",Rs./Quintal,7.00,Metric Tonnes,25-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,600.00","1,450.00",Rs./Quintal,201.20,Metric Tonnes,25-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,"1,400.00","1,800.00","1,700.00",Rs./Quintal,235.10,Metric Tonnes,25-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,"1,000.00","1,800.00","1,600.00",Rs./Quintal,99.30,Metric Tonnes,25-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,800.00","2,100.00","2,050.00",Rs./Quintal,9.50,Metric Tonnes,24-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,400.00","1,300.00",Rs./Quintal,87.20,Metric Tonnes,24-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,900.00,"1,000.00",950.00,Rs./Quintal,215.60,Metric Tonnes,24-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,800.00,"1,200.00",950.00,Rs./Quintal,487.00,Metric Tonnes,24-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,500.00","2,200.00","2,050.00",Rs./Quintal,24.30,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,500.00","1,300.00",Rs./Quintal,127.80,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,"1,600.00","2,000.00","1,850.00",Rs./Quintal,200.90,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,"1,000.00","1,700.00","1,550.00",Rs./Quintal,67.40,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,400.00","1,500.00","1,450.00",Rs./Quintal,29.30,Metric Tonnes,24-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,500.00,600.00,550.00,Rs./Quintal,255.90,Metric Tonnes,24-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"2,000.00","2,100.00","2,050.00",Rs./Quintal,42.70,Metric Tonnes,23-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,400.00","1,300.00",Rs./Quintal,142.00,Metric Tonnes,23-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,800.00,"1,000.00",950.00,Rs./Quintal,360.90,Metric Tonnes,23-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,500.00,"1,300.00","1,100.00",Rs./Quintal,557.80,Metric Tonnes,23-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,800.00,"1,200.00","1,100.00",Rs./Quintal,15.10,Metric Tonnes,22-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,500.00","1,350.00",Rs./Quintal,161.70,Metric Tonnes,22-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,144.90,Metric Tonnes,22-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,800.00,"1,400.00","1,050.00",Rs./Quintal,300.10,Metric Tonnes,22-12-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Chips,FAQ,"1,900.00","2,000.00","1,960.00",Rs./Quintal,27.90,Metric Tonnes,22-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,500.00","1,200.00",Rs./Quintal,167.50,Metric Tonnes,22-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Jalander,FAQ,"2,000.00","2,200.00","2,150.00",Rs./Quintal,0.10,Metric Tonnes,22-11-2025
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Potato,Other,FAQ,"1,000.00","1,600.00","1,200.00",Rs./Quintal,50.50,Metric Tonnes,22-11-2025
