,,,,,,,Daily Price Arrival Report-08-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Dahod,Dahod APMC,Cereals,Rice,Lashkari,Local,"5,000.00","6,000.00","5,500.00",Rs./Quintal,20.60,Metric Tonnes,31-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Rice,Lashkari,Local,"5,000.00","6,000.00","5,500.00",Rs./Quintal,12.00,Metric Tonnes,31-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Rice,Lashkari,FAQ,"5,000.00","6,000.00","5,500.00",Rs./Quintal,14.50,Metric Tonnes,30-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Rice,Lashkari,Local,"5,000.00","6,000.00","5,500.00",Rs./Quintal,3.10,Metric Tonnes,30-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Rice,Lashkari,FAQ,"5,000.00","6,000.00","5,500.00",Rs./Quintal,8.50,Metric Tonnes,29-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Rice,Lashkari,FAQ,"5,000.00","6,000.00","5,500.00",Rs./Quintal,0.50,Metric Tonnes,29-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Rice,Lashkari,Local,"5,000.00","6,000.00","5,500.00",Rs./Quintal,0.10,Metric Tonnes,29-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Rice,Lashkari,FAQ,"5,000.00","6,000.00","5,400.00",Rs./Quintal,5.30,Metric Tonnes,28-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Rice,Lashkari,FAQ,"5,000.00","6,000.00","5,530.00",Rs./Quintal,14.60,Metric Tonnes,28-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Rice,Lashkari,Local,"5,000.00","6,000.00","5,500.00",Rs./Quintal,3.00,Metric Tonnes,27-12-2025
