,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,FAQ,"3,200.00","4,395.00","4,260.00",Rs./Quintal,38.30,Metric Tonnes,29-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"2,750.00","4,375.00","4,270.00",Rs./Quintal,33.00,Metric Tonnes,28-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,450.00","4,655.00","4,265.00",Rs./Quintal,29.00,Metric Tonnes,27-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,250.00","4,345.00","4,245.00",Rs./Quintal,36.60,Metric Tonnes,26-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,765.00","4,480.00","4,340.00",Rs./Quintal,21.60,Metric Tonnes,23-12-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,Non-FAQ,"3,750.00","4,960.00","4,285.00",Rs./Quintal,21.40,Metric Tonnes,22-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,250.00","4,905.00","4,295.00",Rs./Quintal,27.90,Metric Tonnes,21-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,FAQ,"4,000.00","5,100.00","4,975.00",Rs./Quintal,10.30,Metric Tonnes,21-01-2026
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,530.00","4,585.00","4,290.00",Rs./Quintal,33.00,Metric Tonnes,20-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,Grade Range-2,"3,605.00","4,545.00","4,320.00",Rs./Quintal,54.20,Metric Tonnes,19-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,FAQ,"3,535.00","4,380.00","4,345.00",Rs./Quintal,13.20,Metric Tonnes,18-12-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,400.00","4,560.00","4,325.00",Rs./Quintal,48.00,Metric Tonnes,18-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,450.00","4,590.00","4,425.00",Rs./Quintal,48.00,Metric Tonnes,17-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,500.00","4,360.00","4,155.00",Rs./Quintal,25.00,Metric Tonnes,16-12-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,FAQ,"3,000.00","4,250.00","4,105.00",Rs./Quintal,8.20,Metric Tonnes,15-12-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,750.00","4,530.00","4,415.00",Rs./Quintal,70.70,Metric Tonnes,15-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,360.00","4,680.00","4,425.00",Rs./Quintal,75.50,Metric Tonnes,14-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,FAQ,"4,630.00","4,630.00","4,630.00",Rs./Quintal,73.00,Metric Tonnes,13-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"4,560.00","4,560.00","4,560.00",Rs./Quintal,121.30,Metric Tonnes,11-11-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,FAQ,"3,250.00","4,325.00","4,235.00",Rs./Quintal,29.70,Metric Tonnes,09-12-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,375.00","4,305.00","4,265.00",Rs./Quintal,191.00,Metric Tonnes,08-12-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,800.00","4,875.00","4,800.00",Rs./Quintal,34.20,Metric Tonnes,08-01-2026
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"5,000.00","5,450.00","5,400.00",Rs./Quintal,5.50,Metric Tonnes,07-02-2026
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,FAQ,"4,000.00","5,250.00","4,325.00",Rs./Quintal,22.60,Metric Tonnes,07-01-2026
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"4,700.00","5,550.00","5,425.00",Rs./Quintal,14.70,Metric Tonnes,06-02-2026
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"4,000.00","5,675.00","5,475.00",Rs./Quintal,7.90,Metric Tonnes,05-02-2026
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,FAQ,"3,500.00","4,750.00","4,550.00",Rs./Quintal,20.50,Metric Tonnes,05-01-2026
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,FAQ,"4,600.00","5,475.00","5,275.00",Rs./Quintal,10.30,Metric Tonnes,04-02-2026
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Other,FAQ,"4,500.00","5,425.00","5,350.00",Rs./Quintal,9.90,Metric Tonnes,03-02-2026
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,000.00","4,355.00","4,275.00",Rs./Quintal,57.70,Metric Tonnes,02-12-2025
Gujarat,Amreli,Amreli APMC,Oil Seeds,Soyabean,Soyabeen,FAQ,"3,000.00","4,495.00","4,260.00",Rs./Quintal,40.20,Metric Tonnes,01-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,100.00","4,450.00","3,775.00",Rs./Quintal,2.00,Metric Tonnes,31-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,400.00","5,500.00","4,950.00",Rs./Quintal,1.50,Metric Tonnes,31-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,000.00","4,450.00","3,725.00",Rs./Quintal,4.00,Metric Tonnes,30-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,500.00","5,600.00","5,050.00",Rs./Quintal,1.30,Metric Tonnes,30-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,750.00","4,545.00","3,645.00",Rs./Quintal,4.00,Metric Tonnes,29-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,500.00","4,450.00","3,475.00",Rs./Quintal,4.00,Metric Tonnes,29-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,900.00","5,610.00","5,255.00",Rs./Quintal,2.00,Metric Tonnes,29-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,520.00","4,400.00","3,460.00",Rs./Quintal,6.00,Metric Tonnes,28-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,850.00","5,550.00","5,200.00",Rs./Quintal,1.00,Metric Tonnes,28-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,500.00","4,500.00","4,000.00",Rs./Quintal,1.50,Metric Tonnes,27-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,500.00","4,400.00","3,450.00",Rs./Quintal,2.50,Metric Tonnes,27-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,250.00","5,450.00","4,850.00",Rs./Quintal,1.50,Metric Tonnes,27-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,575.00","4,400.00","3,985.00",Rs./Quintal,2.00,Metric Tonnes,26-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,250.00","4,545.00","3,890.00",Rs./Quintal,5.00,Metric Tonnes,26-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,500.00","4,350.00","3,425.00",Rs./Quintal,4.50,Metric Tonnes,25-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,000.00","4,500.00","4,250.00",Rs./Quintal,3.50,Metric Tonnes,25-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,500.00","4,350.00","3,425.00",Rs./Quintal,5.00,Metric Tonnes,24-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,600.00","4,520.00","3,560.00",Rs./Quintal,6.00,Metric Tonnes,24-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,625.00","5,185.00","4,405.00",Rs./Quintal,1.50,Metric Tonnes,24-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,750.00","4,350.00","3,550.00",Rs./Quintal,4.50,Metric Tonnes,23-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,900.00","5,000.00","4,950.00",Rs./Quintal,0.80,Metric Tonnes,23-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,750.00","4,275.00","3,510.00",Rs./Quintal,3.50,Metric Tonnes,22-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,625.00","4,555.00","3,590.00",Rs./Quintal,3.00,Metric Tonnes,22-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,250.00","5,050.00","4,650.00",Rs./Quintal,2.00,Metric Tonnes,22-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,575.00","4,725.00","4,150.00",Rs./Quintal,4.50,Metric Tonnes,21-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,450.00","5,005.00","4,227.00",Rs./Quintal,4.50,Metric Tonnes,21-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,750.00","4,400.00","4,075.00",Rs./Quintal,3.00,Metric Tonnes,20-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,005.00","4,605.00","3,805.00",Rs./Quintal,4.50,Metric Tonnes,20-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,500.00","5,100.00","4,800.00",Rs./Quintal,0.50,Metric Tonnes,20-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,250.00","4,450.00","3,850.00",Rs./Quintal,4.00,Metric Tonnes,19-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,225.00","4,605.00","3,915.00",Rs./Quintal,8.50,Metric Tonnes,19-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,300.00","5,000.00","4,650.00",Rs./Quintal,1.30,Metric Tonnes,19-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,505.00","4,515.00","4,010.00",Rs./Quintal,5.90,Metric Tonnes,18-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,850.00","5,000.00","4,425.00",Rs./Quintal,1.20,Metric Tonnes,17-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,500.00","4,375.00","3,435.00",Rs./Quintal,5.50,Metric Tonnes,16-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,100.00","5,025.00","4,060.00",Rs./Quintal,2.50,Metric Tonnes,16-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,500.00","4,350.00","3,425.00",Rs./Quintal,6.00,Metric Tonnes,15-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,975.00","4,585.00","4,280.00",Rs./Quintal,4.50,Metric Tonnes,15-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,850.00","4,800.00","3,825.00",Rs./Quintal,1.50,Metric Tonnes,15-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,450.00","4,600.00","4,025.00",Rs./Quintal,2.50,Metric Tonnes,14-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,500.00","4,200.00","3,350.00",Rs./Quintal,4.00,Metric Tonnes,13-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,525.00","4,625.00","4,075.00",Rs./Quintal,4.50,Metric Tonnes,13-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,400.00","4,850.00","4,625.00",Rs./Quintal,5.00,Metric Tonnes,13-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,500.00","4,150.00","3,825.00",Rs./Quintal,5.00,Metric Tonnes,12-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,880.00","4,500.00","4,190.00",Rs./Quintal,0.40,Metric Tonnes,12-11-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"4,050.00","4,900.00","4,475.00",Rs./Quintal,4.00,Metric Tonnes,12-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,500.00","4,250.00","3,875.00",Rs./Quintal,5.00,Metric Tonnes,11-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,500.00","4,150.00","3,325.00",Rs./Quintal,4.00,Metric Tonnes,10-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,050.00","4,850.00","3,950.00",Rs./Quintal,2.00,Metric Tonnes,10-01-2026
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"2,500.00","4,250.00","3,375.00",Rs./Quintal,3.00,Metric Tonnes,09-12-2025
Gujarat,Amreli,Bagasara APMC,Oil Seeds,Soyabean,Yellow,Local,"3,700.00","4,950.00","4,325.00",Rs./Quintal,1.50,Metric Tonnes,09-01-2026
