,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,000.00","4,000.00",Rs./Quintal,76.00,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,500.00,"1,800.00","1,350.00",Rs./Quintal,177.60,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","4,500.00","3,850.00",Rs./Quintal,160.00,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,800.00,"1,200.00","1,050.00",Rs./Quintal,231.80,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,000.00","4,250.00",Rs./Quintal,314.40,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,600.00","4,000.00","3,000.00",Rs./Quintal,111.60,Metric Tonnes,29-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,800.00,"2,300.00","1,400.00",Rs./Quintal,288.00,Metric Tonnes,29-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,000.00","2,900.00",Rs./Quintal,202.10,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,000.00","2,200.00","1,650.00",Rs./Quintal,252.20,Metric Tonnes,28-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,500.00","5,000.00","4,000.00",Rs./Quintal,90.90,Metric Tonnes,27-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","3,500.00","2,750.00",Rs./Quintal,85.80,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,000.00","2,500.00","1,850.00",Rs./Quintal,336.10,Metric Tonnes,27-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,500.00","4,650.00",Rs./Quintal,154.20,Metric Tonnes,26-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,500.00","4,350.00",Rs./Quintal,71.80,Metric Tonnes,25-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,500.00","4,450.00",Rs./Quintal,166.70,Metric Tonnes,24-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","5,500.00","4,350.00",Rs./Quintal,151.20,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","2,500.00","2,200.00",Rs./Quintal,142.50,Metric Tonnes,24-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,800.00","4,850.00",Rs./Quintal,175.10,Metric Tonnes,23-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","5,500.00","4,650.00",Rs./Quintal,298.30,Metric Tonnes,22-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,000.00","4,000.00",Rs./Quintal,125.30,Metric Tonnes,22-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","3,200.00","2,400.00",Rs./Quintal,81.80,Metric Tonnes,22-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,000.00","4,650.00",Rs./Quintal,274.90,Metric Tonnes,21-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","3,300.00","2,650.00",Rs./Quintal,170.80,Metric Tonnes,21-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","5,000.00","3,500.00",Rs./Quintal,114.40,Metric Tonnes,20-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,600.00","3,500.00",Rs./Quintal,225.10,Metric Tonnes,20-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","2,800.00","2,550.00",Rs./Quintal,222.20,Metric Tonnes,20-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","5,200.00","4,650.00",Rs./Quintal,83.50,Metric Tonnes,19-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,600.00","3,400.00",Rs./Quintal,196.70,Metric Tonnes,19-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,000.00","3,100.00",Rs./Quintal,367.50,Metric Tonnes,19-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","5,500.00","4,750.00",Rs./Quintal,65.40,Metric Tonnes,18-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,600.00","3,650.00",Rs./Quintal,400.90,Metric Tonnes,18-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,500.00","3,750.00",Rs./Quintal,110.80,Metric Tonnes,17-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","5,000.00","3,850.00",Rs./Quintal,291.90,Metric Tonnes,17-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,000.00","3,350.00",Rs./Quintal,136.60,Metric Tonnes,17-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,200.00","4,500.00","3,850.00",Rs./Quintal,93.00,Metric Tonnes,16-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,000.00","3,150.00",Rs./Quintal,155.80,Metric Tonnes,16-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","5,500.00","4,350.00",Rs./Quintal,180.80,Metric Tonnes,15-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","3,800.00","2,850.00",Rs./Quintal,288.30,Metric Tonnes,15-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,500.00","3,750.00",Rs./Quintal,100.80,Metric Tonnes,14-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,600.00","4,000.00","3,000.00",Rs./Quintal,219.80,Metric Tonnes,13-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,000.00","2,850.00",Rs./Quintal,92.20,Metric Tonnes,13-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,200.00","3,500.00","2,850.00",Rs./Quintal,66.10,Metric Tonnes,12-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,000.00","3,300.00",Rs./Quintal,249.70,Metric Tonnes,12-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,200.00","3,500.00","3,150.00",Rs./Quintal,76.00,Metric Tonnes,11-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,200.00","3,700.00","2,900.00",Rs./Quintal,277.70,Metric Tonnes,11-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,200.00","4,000.00","2,850.00",Rs./Quintal,98.80,Metric Tonnes,10-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","3,750.00","2,850.00",Rs./Quintal,644.50,Metric Tonnes,10-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,200.00","3,200.00","2,350.00",Rs./Quintal,43.10,Metric Tonnes,09-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","3,500.00","2,800.00",Rs./Quintal,205.00,Metric Tonnes,09-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,000.00","3,500.00","2,400.00",Rs./Quintal,214.90,Metric Tonnes,08-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","3,000.00","2,300.00",Rs./Quintal,172.10,Metric Tonnes,08-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,000.00","2,850.00",Rs./Quintal,125.30,Metric Tonnes,08-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,200.00","2,800.00","2,250.00",Rs./Quintal,261.00,Metric Tonnes,07-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,000.00","3,450.00",Rs./Quintal,170.30,Metric Tonnes,07-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,000.00","3,000.00","2,650.00",Rs./Quintal,137.00,Metric Tonnes,06-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,400.00,"1,500.00",850.00,Rs./Quintal,100.30,Metric Tonnes,06-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","4,500.00","3,800.00",Rs./Quintal,189.50,Metric Tonnes,06-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","3,000.00","2,500.00",Rs./Quintal,191.00,Metric Tonnes,05-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,400.00,"1,500.00",900.00,Rs./Quintal,302.70,Metric Tonnes,05-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","4,500.00","3,850.00",Rs./Quintal,206.10,Metric Tonnes,05-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,000.00","3,000.00","2,500.00",Rs./Quintal,97.70,Metric Tonnes,04-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,500.00,"1,200.00",900.00,Rs./Quintal,178.90,Metric Tonnes,04-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,800.00,"2,600.00","2,250.00",Rs./Quintal,151.20,Metric Tonnes,03-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,700.00,"2,200.00","1,400.00",Rs./Quintal,232.10,Metric Tonnes,03-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,000.00","3,500.00","2,750.00",Rs./Quintal,209.40,Metric Tonnes,02-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,700.00,"2,100.00","1,650.00",Rs./Quintal,350.70,Metric Tonnes,02-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,000.00","3,850.00",Rs./Quintal,160.00,Metric Tonnes,02-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Tomato,Other,FAQ,"1,200.00","4,000.00","3,350.00",Rs./Quintal,323.90,Metric Tonnes,01-12-2025
