,,,,,,,Daily Price Arrival Report-08-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,565.00","2,565.00","2,565.00",Rs./Quintal,90.00,Metric Tonnes,31-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,595.00","2,595.00","2,595.00",Rs./Quintal,45.00,Metric Tonnes,31-01-2026
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,605.00","2,605.00","2,605.00",Rs./Quintal,108.00,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,605.00","2,605.00","2,605.00",Rs./Quintal,72.00,Metric Tonnes,30-01-2026
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,595.00","2,595.00","2,595.00",Rs./Quintal,102.00,Metric Tonnes,29-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,575.00","2,575.00","2,575.00",Rs./Quintal,81.00,Metric Tonnes,27-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,605.00","2,605.00","2,605.00",Rs./Quintal,57.00,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,670.00","2,670.00","2,670.00",Rs./Quintal,36.00,Metric Tonnes,27-01-2026
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,550.00","2,550.00","2,550.00",Rs./Quintal,123.00,Metric Tonnes,26-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,590.00","2,590.00","2,590.00",Rs./Quintal,39.00,Metric Tonnes,26-11-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,69.00,Metric Tonnes,25-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,595.00","2,595.00","2,595.00",Rs./Quintal,51.00,Metric Tonnes,25-11-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,575.00","2,575.00","2,575.00",Rs./Quintal,117.00,Metric Tonnes,24-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,610.00","2,610.00","2,610.00",Rs./Quintal,45.00,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,96.00,Metric Tonnes,23-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,595.00","2,595.00","2,595.00",Rs./Quintal,54.00,Metric Tonnes,23-01-2026
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,605.00","2,605.00","2,605.00",Rs./Quintal,108.00,Metric Tonnes,22-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,39.00,Metric Tonnes,22-11-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,610.00","2,610.00","2,610.00",Rs./Quintal,33.00,Metric Tonnes,22-01-2026
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,630.00","2,630.00","2,630.00",Rs./Quintal,24.00,Metric Tonnes,21-11-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,690.00","2,690.00","2,690.00",Rs./Quintal,6.00,Metric Tonnes,21-01-2026
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,465.00","2,465.00","2,465.00",Rs./Quintal,114.00,Metric Tonnes,20-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,640.00","2,640.00","2,640.00",Rs./Quintal,42.00,Metric Tonnes,20-11-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,745.00","2,745.00","2,745.00",Rs./Quintal,63.00,Metric Tonnes,20-01-2026
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,635.00","2,635.00","2,635.00",Rs./Quintal,114.00,Metric Tonnes,19-12-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,570.00","2,570.00","2,570.00",Rs./Quintal,27.00,Metric Tonnes,19-11-2025
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,565.00","2,565.00","2,565.00",Rs./Quintal,63.00,Metric Tonnes,19-01-2026
Gujarat,Ahmedabad,Sanad APMC,Cereals,Wheat,Sharbati,FAQ,"2,650.00","2,650.00","2,650.00",Rs./Quintal,102.00,Metric Tonnes,18-12-2025
