crop,year,season,state,area,production,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH
Arecanut,1997,Whole Year ,Assam,73814.0,56708,7024878.38,22882.34,0.796086957,22.41,1468.92,70.71,60,18,38,5.8
Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685,631643.29,2057.47,0.710434783,22.41,1468.92,70.71,60,18,38,5.8
Castor seed,1997,Kharif     ,Assam,796.0,22,75755.32,246.76,0.238333333,22.41,1468.92,70.71,60,18,38,5.8
Coconut ,1997,Whole Year ,Assam,19656.0,126905000,1870661.52,6093.36,5238.051739,22.41,1468.92,70.71,60,18,38,5.8
Cotton(lint),1997,Kharif     ,Assam,1739.0,794,165500.63,539.09,0.420909091,22.41,1468.92,70.71,60,18,38,5.8
Dry chillies,1997,Whole Year ,Assam,13587.0,9073,1293074.79,4211.97,0.643636364,22.41,1468.92,70.71,60,18,38,5.8
Gram,1997,Rabi       ,Assam,2979.0,1507,283511.43,923.49,0.465454545,22.41,1468.92,70.71,60,18,38,5.8
Jute,1997,Kharif     ,Assam,94520.0,904095,8995468.4,29301.2,9.919565217,22.41,1468.92,70.71,60,18,38,5.8
Linseed,1997,Rabi       ,Assam,10098.0,5158,961026.66,3130.38,0.461363636,22.41,1468.92,70.71,60,18,38,5.8
Maize,1997,Kharif     ,Assam,19216.0,14721,1828786.72,5956.96,0.615652174,22.41,1468.92,70.71,60,18,38,5.8
Mesta,1997,Kharif     ,Assam,5915.0,29003,562930.55,1833.65,4.568947368,22.41,1468.92,70.71,60,18,38,5.8
Niger seed,1997,Whole Year ,Assam,9914.0,5076,943515.38,3073.34,0.482352941,22.41,1468.92,70.71,60,18,38,5.8
Onion,1997,Whole Year ,Assam,7832.0,17943,745371.44,2427.92,2.342608696,22.41,1468.92,70.71,60,18,38,5.8
Other  Rabi pulses,1997,Rabi       ,Assam,108297.0,58272,10306625.49,33572.07,0.520869565,22.41,1468.92,70.71,60,18,38,5.8
Potato,1997,Whole Year ,Assam,75259.0,671871,7162399.03,23330.29,7.561304348,22.41,1468.92,70.71,60,18,38,5.8
Rapeseed &Mustard,1997,Rabi       ,Assam,279292.0,154772,26580219.64,86580.52,0.554782609,22.41,1468.92,70.71,60,18,38,5.8
Rice,1997,Autumn     ,Assam,607358.0,398311,57802260.86,188280.98,0.780869565,22.41,1468.92,70.71,60,18,38,5.8
Rice,1997,Summer     ,Assam,174974.0,209623,16652275.58,54241.94,1.060434783,22.41,1468.92,70.71,60,18,38,5.8
Rice,1997,Winter     ,Assam,1743321.0,1647296,165911859.6,540429.51,0.941304348,22.41,1468.92,70.71,60,18,38,5.8
Sesamum,1997,Whole Year ,Assam,15765.0,8257,1500355.05,4887.15,0.487391304,22.41,1468.92,70.71,60,18,38,5.8
Small millets,1997,Kharif     ,Assam,10490.0,5391,998333.3,3251.9,0.473,22.41,1468.92,70.71,60,18,38,5.8
Sugarcane,1997,Kharif     ,Assam,31318.0,1287451,2980534.06,9708.58,41.89695652,22.41,1468.92,70.71,60,18,38,5.8
Sweet potato,1997,Whole Year ,Assam,9380.0,32618,892694.6,2907.8,3.440434783,22.41,1468.92,70.71,60,18,38,5.8
Tapioca,1997,Whole Year ,Assam,2465.0,11728,234594.05,764.15,4.41826087,22.41,1468.92,70.71,60,18,38,5.8
Tobacco,1997,Whole Year ,Assam,433.0,26,41208.61,134.23,0.38,22.41,1468.92,70.71,60,18,38,5.8
Turmeric,1997,Whole Year ,Assam,10071.0,6974,958457.07,3122.01,0.67,22.41,1468.92,70.71,60,18,38,5.8
Wheat,1997,Rabi       ,Assam,84698.0,110054,8060708.66,26256.38,1.25952381,22.41,1468.92,70.71,60,18,38,5.8
Arecanut,1997,Whole Year ,Karnataka,93100.0,133342,8860327.0,28861.0,1.293571429,23.55,894.16,69.61,72,42,25,6.9
Arhar/Tur,1997,Kharif     ,Karnataka,421810.0,98473,40143657.7,130761.1,0.268235294,23.55,894.16,69.61,72,42,25,6.9
Bajra,1997,Kharif     ,Karnataka,301149.0,132056,28660350.33,93356.19,0.404545455,23.55,894.16,69.61,72,42,25,6.9
Bajra,1997,Summer     ,Karnataka,820.0,662,78039.4,254.2,0.81,23.55,894.16,69.61,72,42,25,6.9
Black pepper,1997,Kharif     ,Karnataka,3825.0,924,364025.25,1185.75,0.4375,23.55,894.16,69.61,72,42,25,6.9
