date,state,market,crop,price_min,price_max,price_modal,arrivals_tonnes
2025-11-02,Punjab,Punjab Mandi,Rice,2472.4,3021.82,2747.11,128
2025-11-03,Punjab,Punjab Mandi,Rice,2427.37,2966.78,2697.08,422
2025-11-04,Punjab,Punjab Mandi,Rice,2215.44,2707.77,2461.61,126
2025-11-05,Punjab,Punjab Mandi,Rice,2561.98,3131.31,2846.65,491
2025-11-06,Punjab,Punjab Mandi,Rice,2325.76,2842.6,2584.18,125
2025-11-07,Punjab,Punjab Mandi,Rice,2338.34,2857.98,2598.16,326
2025-11-08,Punjab,Punjab Mandi,Rice,2182.13,2667.05,2424.59,364
2025-11-09,Punjab,Punjab Mandi,Rice,2103.09,2570.44,2336.77,475
2025-11-10,Punjab,Punjab Mandi,Rice,1998.64,2442.78,2220.71,120
2025-11-11,Punjab,Punjab Mandi,Rice,2367.87,2894.06,2630.96,412
2025-11-12,Punjab,Punjab Mandi,Rice,2127.56,2600.35,2363.96,150
2025-11-13,Punjab,Punjab Mandi,Rice,2538.98,3103.2,2821.09,444
2025-11-14,Punjab,Punjab Mandi,Rice,2537.81,3101.77,2819.79,439
2025-11-15,Punjab,Punjab Mandi,Rice,2106.83,2575.02,2340.93,119
2025-11-16,Punjab,Punjab Mandi,Rice,2217.35,2710.09,2463.72,443
2025-11-17,Punjab,Punjab Mandi,Rice,1967.49,2404.71,2186.1,71
2025-11-18,Punjab,Punjab Mandi,Rice,2566.11,3136.36,2851.23,450
2025-11-19,Punjab,Punjab Mandi,Rice,2546.9,3112.87,2829.89,94
2025-11-20,Punjab,Punjab Mandi,Rice,2009.71,2456.31,2233.01,104
2025-11-21,Punjab,Punjab Mandi,Rice,2221.65,2715.34,2468.49,164
2025-11-22,Punjab,Punjab Mandi,Rice,2598.31,3175.71,2887.01,293
2025-11-23,Punjab,Punjab Mandi,Rice,2594.56,3171.12,2882.84,431
2025-11-24,Punjab,Punjab Mandi,Rice,2418.7,2956.19,2687.44,186
2025-11-25,Punjab,Punjab Mandi,Rice,2448.93,2993.14,2721.04,425
2025-11-26,Punjab,Punjab Mandi,Rice,2072.98,2533.64,2303.31,168
2025-11-27,Punjab,Punjab Mandi,Rice,2100.0,2566.66,2333.33,316
2025-11-28,Punjab,Punjab Mandi,Rice,2388.74,2919.57,2654.16,468
2025-11-29,Punjab,Punjab Mandi,Rice,2039.04,2492.16,2265.6,455
2025-11-30,Punjab,Punjab Mandi,Rice,2172.45,2655.21,2413.83,374
2025-12-01,Punjab,Punjab Mandi,Rice,2444.05,2987.17,2715.61,337
2025-12-02,Punjab,Punjab Mandi,Rice,2215.41,2707.72,2461.56,84
2025-12-03,Punjab,Punjab Mandi,Rice,2462.03,3009.15,2735.59,324
2025-12-04,Punjab,Punjab Mandi,Rice,2088.56,2552.69,2320.63,419
2025-12-05,Punjab,Punjab Mandi,Rice,2417.56,2954.79,2686.17,183
2025-12-06,Punjab,Punjab Mandi,Rice,2471.74,3021.01,2746.38,172
2025-12-07,Punjab,Punjab Mandi,Rice,2408.2,2943.36,2675.78,347
2025-12-08,Punjab,Punjab Mandi,Rice,2477.89,3028.54,2753.22,324
2025-12-09,Punjab,Punjab Mandi,Rice,2519.76,3079.71,2799.73,489
2025-12-10,Punjab,Punjab Mandi,Rice,2454.25,2999.64,2726.95,482
2025-12-11,Punjab,Punjab Mandi,Rice,2176.25,2659.86,2418.06,284
2025-12-12,Punjab,Punjab Mandi,Rice,2597.35,3174.54,2885.95,182
2025-12-13,Punjab,Punjab Mandi,Rice,2531.83,3094.46,2813.15,443
2025-12-14,Punjab,Punjab Mandi,Rice,2243.11,2741.58,2492.34,168
2025-12-15,Punjab,Punjab Mandi,Rice,2657.15,3247.63,2952.39,203
2025-12-16,Punjab,Punjab Mandi,Rice,2608.97,3188.74,2898.86,249
2025-12-17,Punjab,Punjab Mandi,Rice,2652.18,3241.56,2946.87,208
2025-12-18,Punjab,Punjab Mandi,Rice,2463.41,3010.83,2737.12,312
2025-12-19,Punjab,Punjab Mandi,Rice,2640.81,3227.66,2934.24,447
2025-12-20,Punjab,Punjab Mandi,Rice,2087.64,2551.56,2319.6,385
2025-12-21,Punjab,Punjab Mandi,Rice,2262.65,2765.46,2514.06,409
2025-12-22,Punjab,Punjab Mandi,Rice,2071.75,2532.14,2301.94,472
2025-12-23,Punjab,Punjab Mandi,Rice,2004.62,2450.1,2227.36,171
2025-12-24,Punjab,Punjab Mandi,Rice,2552.81,3120.1,2836.46,77
2025-12-25,Punjab,Punjab Mandi,Rice,2294.92,2804.91,2549.91,339
2025-12-26,Punjab,Punjab Mandi,Rice,2437.71,2979.43,2708.57,265
2025-12-27,Punjab,Punjab Mandi,Rice,2042.18,2496.0,2269.09,428
2025-12-28,Punjab,Punjab Mandi,Rice,2449.36,2993.66,2721.51,134
2025-12-29,Punjab,Punjab Mandi,Rice,2192.07,2679.2,2435.64,205
2025-12-30,Punjab,Punjab Mandi,Rice,2668.67,3261.7,2965.19,269
2025-12-31,Punjab,Punjab Mandi,Rice,2117.43,2587.97,2352.7,305
2026-01-01,Punjab,Punjab Mandi,Rice,2469.13,3017.83,2743.48,257
2026-01-02,Punjab,Punjab Mandi,Rice,2611.18,3191.44,2901.31,456
2026-01-03,Punjab,Punjab Mandi,Rice,2654.46,3244.34,2949.4,373
2026-01-04,Punjab,Punjab Mandi,Rice,2631.35,3216.1,2923.72,80
2026-01-05,Punjab,Punjab Mandi,Rice,2147.24,2624.41,2385.83,74
2026-01-06,Punjab,Punjab Mandi,Rice,2320.09,2835.66,2577.88,251
2026-01-07,Punjab,Punjab Mandi,Rice,2065.66,2524.7,2295.18,255
2026-01-08,Punjab,Punjab Mandi,Rice,2080.04,2542.27,2311.16,186
2026-01-09,Punjab,Punjab Mandi,Rice,2271.18,2775.88,2523.53,165
2026-01-10,Punjab,Punjab Mandi,Rice,2573.84,3145.81,2859.83,376
2026-01-11,Punjab,Punjab Mandi,Rice,2509.33,3066.96,2788.15,401
2026-01-12,Punjab,Punjab Mandi,Rice,2663.88,3255.85,2959.87,51
2026-01-13,Punjab,Punjab Mandi,Rice,2354.01,2877.12,2615.57,59
2026-01-14,Punjab,Punjab Mandi,Rice,2275.17,2780.76,2527.96,481
2026-01-15,Punjab,Punjab Mandi,Rice,2163.09,2643.77,2403.43,379
2026-01-16,Punjab,Punjab Mandi,Rice,2104.41,2572.06,2338.23,295
2026-01-17,Punjab,Punjab Mandi,Rice,2697.36,3296.77,2997.07,480
2026-01-18,Punjab,Punjab Mandi,Rice,2594.36,3170.89,2882.63,188
2026-01-19,Punjab,Punjab Mandi,Rice,2279.41,2785.94,2532.67,110
2026-01-20,Punjab,Punjab Mandi,Rice,2702.54,3303.11,3002.82,493
2026-01-21,Punjab,Punjab Mandi,Rice,2399.22,2932.37,2665.79,217
2026-01-22,Punjab,Punjab Mandi,Rice,2237.3,2734.47,2485.89,340
2026-01-23,Punjab,Punjab Mandi,Rice,2255.33,2756.52,2505.93,259
2026-01-24,Punjab,Punjab Mandi,Rice,2572.82,3144.56,2858.69,173
2026-01-25,Punjab,Punjab Mandi,Rice,2446.25,2989.86,2718.06,215
2026-01-26,Punjab,Punjab Mandi,Rice,2439.0,2981.01,2710.01,404
2026-01-27,Punjab,Punjab Mandi,Rice,2628.12,3212.14,2920.13,234
2026-01-28,Punjab,Punjab Mandi,Rice,2550.21,3116.92,2833.57,390
2026-01-29,Punjab,Punjab Mandi,Rice,2359.2,2883.46,2621.33,129
2026-01-30,Punjab,Punjab Mandi,Rice,2506.1,3063.01,2784.55,370
2025-11-02,Haryana,Haryana Mandi,Rice,2268.67,2772.82,2520.74,57
2025-11-03,Haryana,Haryana Mandi,Rice,2435.76,2977.04,2706.4,265
2025-11-04,Haryana,Haryana Mandi,Rice,2367.58,2893.71,2630.65,134
2025-11-05,Haryana,Haryana Mandi,Rice,2273.77,2779.05,2526.41,343
2025-11-06,Haryana,Haryana Mandi,Rice,2210.45,2701.66,2456.05,85
2025-11-07,Haryana,Haryana Mandi,Rice,2381.94,2911.26,2646.6,226
2025-11-08,Haryana,Haryana Mandi,Rice,2022.94,2472.48,2247.71,411
2025-11-09,Haryana,Haryana Mandi,Rice,2400.99,2934.54,2667.76,464
2025-11-10,Haryana,Haryana Mandi,Rice,2117.37,2587.9,2352.64,407
2025-11-11,Haryana,Haryana Mandi,Rice,2378.11,2906.58,2642.34,355
2025-11-12,Haryana,Haryana Mandi,Rice,1948.1,2381.01,2164.55,341
2025-11-13,Haryana,Haryana Mandi,Rice,2218.02,2710.91,2464.47,241
2025-11-14,Haryana,Haryana Mandi,Rice,2033.35,2485.21,2259.28,82
2025-11-15,Haryana,Haryana Mandi,Rice,1954.07,2388.3,2171.18,352
2025-11-16,Haryana,Haryana Mandi,Rice,2571.25,3142.63,2856.94,134
2025-11-17,Haryana,Haryana Mandi,Rice,2010.89,2457.76,2234.32,293
2025-11-18,Haryana,Haryana Mandi,Rice,2410.96,2946.73,2678.84,85
2025-11-19,Haryana,Haryana Mandi,Rice,2387.92,2918.57,2653.24,473
2025-11-20,Haryana,Haryana Mandi,Rice,2087.83,2551.8,2319.81,62
2025-11-21,Haryana,Haryana Mandi,Rice,2407.82,2942.89,2675.36,391
2025-11-22,Haryana,Haryana Mandi,Rice,2466.55,3014.67,2740.61,222
2025-11-23,Haryana,Haryana Mandi,Rice,2519.54,3079.44,2799.49,279
2025-11-24,Haryana,Haryana Mandi,Rice,2047.23,2502.17,2274.7,135
2025-11-25,Haryana,Haryana Mandi,Rice,2566.97,3137.41,2852.19,257
2025-11-26,Haryana,Haryana Mandi,Rice,2137.72,2612.77,2375.25,248
2025-11-27,Haryana,Haryana Mandi,Rice,2153.53,2632.09,2392.81,216
2025-11-28,Haryana,Haryana Mandi,Rice,2089.51,2553.85,2321.68,186
2025-11-29,Haryana,Haryana Mandi,Rice,2462.93,3010.25,2736.59,308
2025-11-30,Haryana,Haryana Mandi,Rice,2576.18,3148.66,2862.42,472
2025-12-01,Haryana,Haryana Mandi,Rice,2601.61,3179.75,2890.68,473
2025-12-02,Haryana,Haryana Mandi,Rice,2585.69,3160.28,2872.99,59
2025-12-03,Haryana,Haryana Mandi,Rice,2544.87,3110.39,2827.63,204
2025-12-04,Haryana,Haryana Mandi,Rice,2111.37,2580.57,2345.97,388
2025-12-05,Haryana,Haryana Mandi,Rice,2528.52,3090.42,2809.47,448
2025-12-06,Haryana,Haryana Mandi,Rice,2441.32,2983.84,2712.58,338
2025-12-07,Haryana,Haryana Mandi,Rice,2433.32,2974.06,2703.69,237
2025-12-08,Haryana,Haryana Mandi,Rice,2304.08,2816.1,2560.09,64
2025-12-09,Haryana,Haryana Mandi,Rice,2444.17,2987.32,2715.75,334
2025-12-10,Haryana,Haryana Mandi,Rice,2529.85,3092.04,2810.95,229
2025-12-11,Haryana,Haryana Mandi,Rice,2511.07,3069.09,2790.08,298
2025-12-12,Haryana,Haryana Mandi,Rice,2120.2,2591.35,2355.77,265
2025-12-13,Haryana,Haryana Mandi,Rice,2268.99,2773.21,2521.1,424
2025-12-14,Haryana,Haryana Mandi,Rice,2246.95,2746.27,2496.61,64
2025-12-15,Haryana,Haryana Mandi,Rice,2308.81,2821.87,2565.34,145
2025-12-16,Haryana,Haryana Mandi,Rice,2644.5,3232.16,2938.33,420
2025-12-17,Haryana,Haryana Mandi,Rice,2365.11,2890.69,2627.9,179
2025-12-18,Haryana,Haryana Mandi,Rice,2059.42,2517.07,2288.24,156
2025-12-19,Haryana,Haryana Mandi,Rice,2383.46,2913.12,2648.29,413
2025-12-20,Haryana,Haryana Mandi,Rice,2239.09,2736.67,2487.88,465
2025-12-21,Haryana,Haryana Mandi,Rice,2169.53,2651.65,2410.59,264
2025-12-22,Haryana,Haryana Mandi,Rice,2380.13,2909.05,2644.59,373
2025-12-23,Haryana,Haryana Mandi,Rice,2641.24,3228.19,2934.72,499
2025-12-24,Haryana,Haryana Mandi,Rice,2395.94,2928.37,2662.15,338
2025-12-25,Haryana,Haryana Mandi,Rice,2555.38,3123.24,2839.31,169
2025-12-26,Haryana,Haryana Mandi,Rice,2325.29,2842.02,2583.66,136
2025-12-27,Haryana,Haryana Mandi,Rice,2404.99,2939.43,2672.21,417
2025-12-28,Haryana,Haryana Mandi,Rice,2195.81,2683.76,2439.79,471
2025-12-29,Haryana,Haryana Mandi,Rice,2487.95,3040.83,2764.39,318
2025-12-30,Haryana,Haryana Mandi,Rice,2091.46,2556.23,2323.85,283
2025-12-31,Haryana,Haryana Mandi,Rice,2590.53,3166.21,2878.37,94
2026-01-01,Haryana,Haryana Mandi,Rice,2644.21,3231.82,2938.02,337
2026-01-02,Haryana,Haryana Mandi,Rice,2349.12,2871.15,2610.14,212
2026-01-03,Haryana,Haryana Mandi,Rice,2393.57,2925.48,2659.52,67
2026-01-04,Haryana,Haryana Mandi,Rice,2696.05,3295.17,2995.61,391
2026-01-05,Haryana,Haryana Mandi,Rice,2294.74,2804.68,2549.71,374
2026-01-06,Haryana,Haryana Mandi,Rice,2392.94,2924.71,2658.83,184
2026-01-07,Haryana,Haryana Mandi,Rice,2373.08,2900.43,2636.75,81
2026-01-08,Haryana,Haryana Mandi,Rice,2061.52,2519.63,2290.58,443
2026-01-09,Haryana,Haryana Mandi,Rice,2390.44,2921.65,2656.04,269
2026-01-10,Haryana,Haryana Mandi,Rice,2142.1,2618.13,2380.12,63
2026-01-11,Haryana,Haryana Mandi,Rice,2272.67,2777.71,2525.19,396
2026-01-12,Haryana,Haryana Mandi,Rice,2623.38,3206.36,2914.87,397
